INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING
14266	Nµi công	11	STD_IMPACT_011	1	-1	-1	-1	200	1	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	ÎïÀí¹¥»÷+	0	0	ÎïÀí·ÀÓù+	0	0	Ä§·¨¹¥»÷+	399	0	Ä§·¨·ÀÓù+	0	0	±ùÏµ¹¥»÷ÐÞÕý	0	0	±ùÏµ¿¹ÐÔÐÞÕý	0	0	»ðÏµ¹¥»÷ÐÞÕý	0	0	»ðÏµ¿¹ÐÔÐÞÕý	0	0	µçÏµ¹¥»÷ÐÞÕý	0	0	µçÏµ¿¹ÐÔÐÞÕý	0	0	¶¾Ïµ¹¥»÷ÐÞÕý	0	0	¶¾Ïµ¿¹ÐÔÐÞÕý	0	0	MAX_HPÐÞÕý	0	0	MAX_MPÐÞÕý	0	0	MAX_RAGEÐÞÕý	0	0	MAX_STRIKE_POINTÐÞÕý	0	0	
14267	Nµi công	11	STD_IMPACT_011	1	-1	-1	-1	200	1	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	ÎïÀí¹¥»÷+	0	0	ÎïÀí·ÀÓù+	0	0	Ä§·¨¹¥»÷+	519	0	Ä§·¨·ÀÓù+	0	0	±ùÏµ¹¥»÷ÐÞÕý	0	0	±ùÏµ¿¹ÐÔÐÞÕý	0	0	»ðÏµ¹¥»÷ÐÞÕý	0	0	»ðÏµ¿¹ÐÔÐÞÕý	0	0	µçÏµ¹¥»÷ÐÞÕý	0	0	µçÏµ¿¹ÐÔÐÞÕý	0	0	¶¾Ïµ¹¥»÷ÐÞÕý	0	0	¶¾Ïµ¿¹ÐÔÐÞÕý	0	0	MAX_HPÐÞÕý	0	0	MAX_MPÐÞÕý	0	0	MAX_RAGEÐÞÕý	0	0	MAX_STRIKE_POINTÐÞÕý	0	0	
14268	Nµi công	11	STD_IMPACT_011	1	-1	-1	-1	200	1	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	ÎïÀí¹¥»÷+	0	0	ÎïÀí·ÀÓù+	0	0	Ä§·¨¹¥»÷+	639	0	Ä§·¨·ÀÓù+	0	0	±ùÏµ¹¥»÷ÐÞÕý	0	0	±ùÏµ¿¹ÐÔÐÞÕý	0	0	»ðÏµ¹¥»÷ÐÞÕý	0	0	»ðÏµ¿¹ÐÔÐÞÕý	0	0	µçÏµ¹¥»÷ÐÞÕý	0	0	µçÏµ¿¹ÐÔÐÞÕý	0	0	¶¾Ïµ¹¥»÷ÐÞÕý	0	0	¶¾Ïµ¿¹ÐÔÐÞÕý	0	0	MAX_HPÐÞÕý	0	0	MAX_MPÐÞÕý	0	0	MAX_RAGEÐÞÕý	0	0	MAX_STRIKE_POINTÐÞÕý	0	0	
14269	Nµi công	11	STD_IMPACT_011	1	-1	-1	-1	200	1	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	ÎïÀí¹¥»÷+	0	0	ÎïÀí·ÀÓù+	0	0	Ä§·¨¹¥»÷+	663	0	Ä§·¨·ÀÓù+	0	0	±ùÏµ¹¥»÷ÐÞÕý	0	0	±ùÏµ¿¹ÐÔÐÞÕý	0	0	»ðÏµ¹¥»÷ÐÞÕý	0	0	»ðÏµ¿¹ÐÔÐÞÕý	0	0	µçÏµ¹¥»÷ÐÞÕý	0	0	µçÏµ¿¹ÐÔÐÞÕý	0	0	¶¾Ïµ¹¥»÷ÐÞÕý	0	0	¶¾Ïµ¿¹ÐÔÐÞÕý	0	0	MAX_HPÐÞÕý	0	0	MAX_MPÐÞÕý	0	0	MAX_RAGEÐÞÕý	0	0	MAX_STRIKE_POINTÐÞÕý	0	0	
																																																																											
14301	Bång công	11	STD_IMPACT_011	1	-1	-1	-1	200	1	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	ÎïÀí¹¥»÷+	0	0	ÎïÀí·ÀÓù+	0	0	Ä§·¨¹¥»÷+	0	0	Ä§·¨·ÀÓù+	0	0	Bång công	2	0	±ùÏµ¿¹ÐÔÐÞÕý	0	0	Höa công	0	0	»ðÏµ¿¹ÐÔÐÞÕý	0	0	Huy«n công	0	0	µçÏµ¿¹ÐÔÐÞÕý	0	0	Ðµc công	0	0	¶¾Ïµ¿¹ÐÔÐÞÕý	0	0	MAX_HPÐÞÕý	0	0	MAX_MPÐÞÕý	0	0	MAX_RAGEÐÞÕý	0	0	MAX_STRIKE_POINTÐÞÕý	0	0	
14302	Bång công	11	STD_IMPACT_011	1	-1	-1	-1	200	1	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	ÎïÀí¹¥»÷+	0	0	ÎïÀí·ÀÓù+	0	0	Ä§·¨¹¥»÷+	0	0	Ä§·¨·ÀÓù+	0	0	Bång công	4	0	±ùÏµ¿¹ÐÔÐÞÕý	0	0	Höa công	0	0	»ðÏµ¿¹ÐÔÐÞÕý	0	0	Huy«n công	0	0	µçÏµ¿¹ÐÔÐÞÕý	0	0	Ðµc công	0	0	¶¾Ïµ¿¹ÐÔÐÞÕý	0	0	MAX_HPÐÞÕý	0	0	MAX_MPÐÞÕý	0	0	MAX_RAGEÐÞÕý	0	0	MAX_STRIKE_POINTÐÞÕý	0	0	
14303	Bång công	11	STD_IMPACT_011	1	-1	-1	-1	200	1	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	ÎïÀí¹¥»÷+	0	0	ÎïÀí·ÀÓù+	0	0	Ä§·¨¹¥»÷+	0	0	Ä§·¨·ÀÓù+	0	0	Bång công	6	0	±ùÏµ¿¹ÐÔÐÞÕý	0	0	Höa công	0	0	»ðÏµ¿¹ÐÔÐÞÕý	0	0	Huy«n công	0	0	µçÏµ¿¹ÐÔÐÞÕý	0	0	Ðµc công	0	0	¶¾Ïµ¿¹ÐÔÐÞÕý	0	0	MAX_HPÐÞÕý	0	0	MAX_MPÐÞÕý	0	0	MAX_RAGEÐÞÕý	0	0	MAX_STRIKE_POINTÐÞÕý	0	0	
14304	Bång công	11	STD_IMPACT_011	1	-1	-1	-1	200	1	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	ÎïÀí¹¥»÷+	0	0	ÎïÀí·ÀÓù+	0	0	Ä§·¨¹¥»÷+	0	0	Ä§·¨·ÀÓù+	0	0	Bång công	12	0	±ùÏµ¿¹ÐÔÐÞÕý	0	0	Höa công	0	0	»ðÏµ¿¹ÐÔÐÞÕý	0	0	Huy«n công	0	0	µçÏµ¿¹ÐÔÐÞÕý	0	0	Ðµc công	0	0	¶¾Ïµ¿¹ÐÔÐÞÕý	0	0	MAX_HPÐÞÕý	0	0	MAX_MPÐÞÕý	0	0	MAX_RAGEÐÞÕý	0	0	MAX_STRIKE_POINTÐÞÕý	0	0	
14305	Bång công	11	STD_IMPACT_011	1	-1	-1	-1	200	1	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	ÎïÀí¹¥»÷+	0	0	ÎïÀí·ÀÓù+	0	0	Ä§·¨¹¥»÷+	0	0	Ä§·¨·ÀÓù+	0	0	Bång công	24	0	±ùÏµ¿¹ÐÔÐÞÕý	0	0	Höa công	0	0	»ðÏµ¿¹ÐÔÐÞÕý	0	0	Huy«n công	0	0	µçÏµ¿¹ÐÔÐÞÕý	0	0	Ðµc công	0	0	¶¾Ïµ¿¹ÐÔÐÞÕý	0	0	MAX_HPÐÞÕý	0	0	MAX_MPÐÞÕý	0	0	MAX_RAGEÐÞÕý	0	0	MAX_STRIKE_POINTÐÞÕý	0	0	
14306	Bång công	11	STD_IMPACT_011	1	-1	-1	-1	200	1	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	ÎïÀí¹¥»÷+	0	0	ÎïÀí·ÀÓù+	0	0	Ä§·¨¹¥»÷+	0	0	Ä§·¨·ÀÓù+	0	0	Bång công	34	0	±ùÏµ¿¹ÐÔÐÞÕý	0	0	Höa công	0	0	»ðÏµ¿¹ÐÔÐÞÕý	0	0	Huy«n công	0	0	µçÏµ¿¹ÐÔÐÞÕý	0	0	Ðµc công	0	0	¶¾Ïµ¿¹ÐÔÐÞÕý	0	0	MAX_HPÐÞÕý	0	0	MAX_MPÐÞÕý	0	0	MAX_RAGEÐÞÕý	0	0	MAX_STRIKE_POINTÐÞÕý	0	0	
14307	Bång công	11	STD_IMPACT_011	1	-1	-1	-1	200	1	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	ÎïÀí¹¥»÷+	0	0	ÎïÀí·ÀÓù+	0	0	Ä§·¨¹¥»÷+	0	0	Ä§·¨·ÀÓù+	0	0	Bång công	46	0	±ùÏµ¿¹ÐÔÐÞÕý	0	0	Höa công	0	0	»ðÏµ¿¹ÐÔÐÞÕý	0	0	Huy«n công	0	0	µçÏµ¿¹ÐÔÐÞÕý	0	0	Ðµc công	0	0	¶¾Ïµ¿¹ÐÔÐÞÕý	0	0	MAX_HPÐÞÕý	0	0	MAX_MPÐÞÕý	0	0	MAX_RAGEÐÞÕý	0	0	MAX_STRIKE_POINTÐÞÕý	0	0	
14308	Bång công	11	STD_IMPACT_011	1	-1	-1	-1	200	1	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	ÎïÀí¹¥»÷+	0	0	ÎïÀí·ÀÓù+	0	0	Ä§·¨¹¥»÷+	0	0	Ä§·¨·ÀÓù+	0	0	Bång công	58	0	±ùÏµ¿¹ÐÔÐÞÕý	0	0	Höa công	0	0	»ðÏµ¿¹ÐÔÐÞÕý	0	0	Huy«n công	0	0	µçÏµ¿¹ÐÔÐÞÕý	0	0	Ðµc công	0	0	¶¾Ïµ¿¹ÐÔÐÞÕý	0	0	MAX_HPÐÞÕý	0	0	MAX_MPÐÞÕý	0	0	MAX_RAGEÐÞÕý	0	0	MAX_STRIKE_POINTÐÞÕý	0	0	
14309	Bång công	11	STD_IMPACT_011	1	-1	-1	-1	200	1	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	ÎïÀí¹¥»÷+	0	0	ÎïÀí·ÀÓù+	0	0	Ä§·¨¹¥»÷+	0	0	Ä§·¨·ÀÓù+	0	0	Bång công	60	0	±ùÏµ¿¹ÐÔÐÞÕý	0	0	Höa công	0	0	»ðÏµ¿¹ÐÔÐÞÕý	0	0	Huy«n công	0	0	µçÏµ¿¹ÐÔÐÞÕý	0	0	Ðµc công	0	0	¶¾Ïµ¿¹ÐÔÐÞÕý	0	0	MAX_HPÐÞÕý	0	0	MAX_MPÐÞÕý	0	0	MAX_RAGEÐÞÕý	0	0	MAX_STRIKE_POINTÐÞÕý	0	0	
																																																																											
14311	Höa công	11	STD_IMPACT_011	1	-1	-1	-1	200	1	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	ÎïÀí¹¥»÷+	0	0	ÎïÀí·ÀÓù+	0	0	Ä§·¨¹¥»÷+	0	0	Ä§·¨·ÀÓù+	0	0	Bång công	0	0	±ùÏµ¿¹ÐÔÐÞÕý	0	0	Höa công	2	0	»ðÏµ¿¹ÐÔÐÞÕý	0	0	Huy«n công	0	0	µçÏµ¿¹ÐÔÐÞÕý	0	0	Ðµc công	0	0	¶¾Ïµ¿¹ÐÔÐÞÕý	0	0	MAX_HPÐÞÕý	0	0	MAX_MPÐÞÕý	0	0	MAX_RAGEÐÞÕý	0	0	MAX_STRIKE_POINTÐÞÕý	0	0	
14312	Höa công	11	STD_IMPACT_011	1	-1	-1	-1	200	1	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	ÎïÀí¹¥»÷+	0	0	ÎïÀí·ÀÓù+	0	0	Ä§·¨¹¥»÷+	0	0	Ä§·¨·ÀÓù+	0	0	Bång công	0	0	±ùÏµ¿¹ÐÔÐÞÕý	0	0	Höa công	4	0	»ðÏµ¿¹ÐÔÐÞÕý	0	0	Huy«n công	0	0	µçÏµ¿¹ÐÔÐÞÕý	0	0	Ðµc công	0	0	¶¾Ïµ¿¹ÐÔÐÞÕý	0	0	MAX_HPÐÞÕý	0	0	MAX_MPÐÞÕý	0	0	MAX_RAGEÐÞÕý	0	0	MAX_STRIKE_POINTÐÞÕý	0	0	
14313	Höa công	11	STD_IMPACT_011	1	-1	-1	-1	200	1	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	ÎïÀí¹¥»÷+	0	0	ÎïÀí·ÀÓù+	0	0	Ä§·¨¹¥»÷+	0	0	Ä§·¨·ÀÓù+	0	0	Bång công	0	0	±ùÏµ¿¹ÐÔÐÞÕý	0	0	Höa công	6	0	»ðÏµ¿¹ÐÔÐÞÕý	0	0	Huy«n công	0	0	µçÏµ¿¹ÐÔÐÞÕý	0	0	Ðµc công	0	0	¶¾Ïµ¿¹ÐÔÐÞÕý	0	0	MAX_HPÐÞÕý	0	0	MAX_MPÐÞÕý	0	0	MAX_RAGEÐÞÕý	0	0	MAX_STRIKE_POINTÐÞÕý	0	0	
14314	Höa công	11	STD_IMPACT_011	1	-1	-1	-1	200	1	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	ÎïÀí¹¥»÷+	0	0	ÎïÀí·ÀÓù+	0	0	Ä§·¨¹¥»÷+	0	0	Ä§·¨·ÀÓù+	0	0	Bång công	0	0	±ùÏµ¿¹ÐÔÐÞÕý	0	0	Höa công	12	0	»ðÏµ¿¹ÐÔÐÞÕý	0	0	Huy«n công	0	0	µçÏµ¿¹ÐÔÐÞÕý	0	0	Ðµc công	0	0	¶¾Ïµ¿¹ÐÔÐÞÕý	0	0	MAX_HPÐÞÕý	0	0	MAX_MPÐÞÕý	0	0	MAX_RAGEÐÞÕý	0	0	MAX_STRIKE_POINTÐÞÕý	0	0	
14315	Höa công	11	STD_IMPACT_011	1	-1	-1	-1	200	1	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	ÎïÀí¹¥»÷+	0	0	ÎïÀí·ÀÓù+	0	0	Ä§·¨¹¥»÷+	0	0	Ä§·¨·ÀÓù+	0	0	Bång công	0	0	±ùÏµ¿¹ÐÔÐÞÕý	0	0	Höa công	24	0	»ðÏµ¿¹ÐÔÐÞÕý	0	0	Huy«n công	0	0	µçÏµ¿¹ÐÔÐÞÕý	0	0	Ðµc công	0	0	¶¾Ïµ¿¹ÐÔÐÞÕý	0	0	MAX_HPÐÞÕý	0	0	MAX_MPÐÞÕý	0	0	MAX_RAGEÐÞÕý	0	0	MAX_STRIKE_POINTÐÞÕý	0	0	
14316	Höa công	11	STD_IMPACT_011	1	-1	-1	-1	200	1	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	ÎïÀí¹¥»÷+	0	0	ÎïÀí·ÀÓù+	0	0	Ä§·¨¹¥»÷+	0	0	Ä§·¨·ÀÓù+	0	0	Bång công	0	0	±ùÏµ¿¹ÐÔÐÞÕý	0	0	Höa công	34	0	»ðÏµ¿¹ÐÔÐÞÕý	0	0	Huy«n công	0	0	µçÏµ¿¹ÐÔÐÞÕý	0	0	Ðµc công	0	0	¶¾Ïµ¿¹ÐÔÐÞÕý	0	0	MAX_HPÐÞÕý	0	0	MAX_MPÐÞÕý	0	0	MAX_RAGEÐÞÕý	0	0	MAX_STRIKE_POINTÐÞÕý	0	0	
14317	Höa công	11	STD_IMPACT_011	1	-1	-1	-1	200	1	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	ÎïÀí¹¥»÷+	0	0	ÎïÀí·ÀÓù+	0	0	Ä§·¨¹¥»÷+	0	0	Ä§·¨·ÀÓù+	0	0	Bång công	0	0	±ùÏµ¿¹ÐÔÐÞÕý	0	0	Höa công	46	0	»ðÏµ¿¹ÐÔÐÞÕý	0	0	Huy«n công	0	0	µçÏµ¿¹ÐÔÐÞÕý	0	0	Ðµc công	0	0	¶¾Ïµ¿¹ÐÔÐÞÕý	0	0	MAX_HPÐÞÕý	0	0	MAX_MPÐÞÕý	0	0	MAX_RAGEÐÞÕý	0	0	MAX_STRIKE_POINTÐÞÕý	0	0	
14318	Höa công	11	STD_IMPACT_011	1	-1	-1	-1	200	1	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	ÎïÀí¹¥»÷+	0	0	ÎïÀí·ÀÓù+	0	0	Ä§·¨¹¥»÷+	0	0	Ä§·¨·ÀÓù+	0	0	Bång công	0	0	±ùÏµ¿¹ÐÔÐÞÕý	0	0	Höa công	58	0	»ðÏµ¿¹ÐÔÐÞÕý	0	0	Huy«n công	0	0	µçÏµ¿¹ÐÔÐÞÕý	0	0	Ðµc công	0	0	¶¾Ïµ¿¹ÐÔÐÞÕý	0	0	MAX_HPÐÞÕý	0	0	MAX_MPÐÞÕý	0	0	MAX_RAGEÐÞÕý	0	0	MAX_STRIKE_POINTÐÞÕý	0	0	
14319	Höa công	11	STD_IMPACT_011	1	-1	-1	-1	200	1	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	ÎïÀí¹¥»÷+	0	0	ÎïÀí·ÀÓù+	0	0	Ä§·¨¹¥»÷+	0	0	Ä§·¨·ÀÓù+	0	0	Bång công	0	0	±ùÏµ¿¹ÐÔÐÞÕý	0	0	Höa công	60	0	»ðÏµ¿¹ÐÔÐÞÕý	0	0	Huy«n công	0	0	µçÏµ¿¹ÐÔÐÞÕý	0	0	Ðµc công	0	0	¶¾Ïµ¿¹ÐÔÐÞÕý	0	0	MAX_HPÐÞÕý	0	0	MAX_MPÐÞÕý	0	0	MAX_RAGEÐÞÕý	0	0	MAX_STRIKE_POINTÐÞÕý	0	0	
																																																																											
14321	Huy«n công	11	STD_IMPACT_011	1	-1	-1	-1	200	1	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	ÎïÀí¹¥»÷+	0	0	ÎïÀí·ÀÓù+	0	0	Ä§·¨¹¥»÷+	0	0	Ä§·¨·ÀÓù+	0	0	Bång công	0	0	±ùÏµ¿¹ÐÔÐÞÕý	0	0	Höa công	0	0	»ðÏµ¿¹ÐÔÐÞÕý	0	0	Huy«n công	2	0	µçÏµ¿¹ÐÔÐÞÕý	0	0	Ðµc công	0	0	¶¾Ïµ¿¹ÐÔÐÞÕý	0	0	MAX_HPÐÞÕý	0	0	MAX_MPÐÞÕý	0	0	MAX_RAGEÐÞÕý	0	0	MAX_STRIKE_POINTÐÞÕý	0	0	
14322	Huy«n công	11	STD_IMPACT_011	1	-1	-1	-1	200	1	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	ÎïÀí¹¥»÷+	0	0	ÎïÀí·ÀÓù+	0	0	Ä§·¨¹¥»÷+	0	0	Ä§·¨·ÀÓù+	0	0	Bång công	0	0	±ùÏµ¿¹ÐÔÐÞÕý	0	0	Höa công	0	0	»ðÏµ¿¹ÐÔÐÞÕý	0	0	Huy«n công	4	0	µçÏµ¿¹ÐÔÐÞÕý	0	0	Ðµc công	0	0	¶¾Ïµ¿¹ÐÔÐÞÕý	0	0	MAX_HPÐÞÕý	0	0	MAX_MPÐÞÕý	0	0	MAX_RAGEÐÞÕý	0	0	MAX_STRIKE_POINTÐÞÕý	0	0	
14323	Huy«n công	11	STD_IMPACT_011	1	-1	-1	-1	200	1	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	ÎïÀí¹¥»÷+	0	0	ÎïÀí·ÀÓù+	0	0	Ä§·¨¹¥»÷+	0	0	Ä§·¨·ÀÓù+	0	0	Bång công	0	0	±ùÏµ¿¹ÐÔÐÞÕý	0	0	Höa công	0	0	»ðÏµ¿¹ÐÔÐÞÕý	0	0	Huy«n công	6	0	µçÏµ¿¹ÐÔÐÞÕý	0	0	Ðµc công	0	0	¶¾Ïµ¿¹ÐÔÐÞÕý	0	0	MAX_HPÐÞÕý	0	0	MAX_MPÐÞÕý	0	0	MAX_RAGEÐÞÕý	0	0	MAX_STRIKE_POINTÐÞÕý	0	0	
14324	Huy«n công	11	STD_IMPACT_011	1	-1	-1	-1	200	1	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	ÎïÀí¹¥»÷+	0	0	ÎïÀí·ÀÓù+	0	0	Ä§·¨¹¥»÷+	0	0	Ä§·¨·ÀÓù+	0	0	Bång công	0	0	±ùÏµ¿¹ÐÔÐÞÕý	0	0	Höa công	0	0	»ðÏµ¿¹ÐÔÐÞÕý	0	0	Huy«n công	12	0	µçÏµ¿¹ÐÔÐÞÕý	0	0	Ðµc công	0	0	¶¾Ïµ¿¹ÐÔÐÞÕý	0	0	MAX_HPÐÞÕý	0	0	MAX_MPÐÞÕý	0	0	MAX_RAGEÐÞÕý	0	0	MAX_STRIKE_POINTÐÞÕý	0	0	
14325	Huy«n công	11	STD_IMPACT_011	1	-1	-1	-1	200	1	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	ÎïÀí¹¥»÷+	0	0	ÎïÀí·ÀÓù+	0	0	Ä§·¨¹¥»÷+	0	0	Ä§·¨·ÀÓù+	0	0	Bång công	0	0	±ùÏµ¿¹ÐÔÐÞÕý	0	0	Höa công	0	0	»ðÏµ¿¹ÐÔÐÞÕý	0	0	Huy«n công	24	0	µçÏµ¿¹ÐÔÐÞÕý	0	0	Ðµc công	0	0	¶¾Ïµ¿¹ÐÔÐÞÕý	0	0	MAX_HPÐÞÕý	0	0	MAX_MPÐÞÕý	0	0	MAX_RAGEÐÞÕý	0	0	MAX_STRIKE_POINTÐÞÕý	0	0	
14326	Huy«n công	11	STD_IMPACT_011	1	-1	-1	-1	200	1	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	ÎïÀí¹¥»÷+	0	0	ÎïÀí·ÀÓù+	0	0	Ä§·¨¹¥»÷+	0	0	Ä§·¨·ÀÓù+	0	0	Bång công	0	0	±ùÏµ¿¹ÐÔÐÞÕý	0	0	Höa công	0	0	»ðÏµ¿¹ÐÔÐÞÕý	0	0	Huy«n công	34	0	µçÏµ¿¹ÐÔÐÞÕý	0	0	Ðµc công	0	0	¶¾Ïµ¿¹ÐÔÐÞÕý	0	0	MAX_HPÐÞÕý	0	0	MAX_MPÐÞÕý	0	0	MAX_RAGEÐÞÕý	0	0	MAX_STRIKE_POINTÐÞÕý	0	0	
14327	Huy«n công	11	STD_IMPACT_011	1	-1	-1	-1	200	1	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	ÎïÀí¹¥»÷+	0	0	ÎïÀí·ÀÓù+	0	0	Ä§·¨¹¥»÷+	0	0	Ä§·¨·ÀÓù+	0	0	Bång công	0	0	±ùÏµ¿¹ÐÔÐÞÕý	0	0	Höa công	0	0	»ðÏµ¿¹ÐÔÐÞÕý	0	0	Huy«n công	46	0	µçÏµ¿¹ÐÔÐÞÕý	0	0	Ðµc công	0	0	¶¾Ïµ¿¹ÐÔÐÞÕý	0	0	MAX_HPÐÞÕý	0	0	MAX_MPÐÞÕý	0	0	MAX_RAGEÐÞÕý	0	0	MAX_STRIKE_POINTÐÞÕý	0	0	
14328	Huy«n công	11	STD_IMPACT_011	1	-1	-1	-1	200	1	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	ÎïÀí¹¥»÷+	0	0	ÎïÀí·ÀÓù+	0	0	Ä§·¨¹¥»÷+	0	0	Ä§·¨·ÀÓù+	0	0	Bång công	0	0	±ùÏµ¿¹ÐÔÐÞÕý	0	0	Höa công	0	0	»ðÏµ¿¹ÐÔÐÞÕý	0	0	Huy«n công	58	0	µçÏµ¿¹ÐÔÐÞÕý	0	0	Ðµc công	0	0	¶¾Ïµ¿¹ÐÔÐÞÕý	0	0	MAX_HPÐÞÕý	0	0	MAX_MPÐÞÕý	0	0	MAX_RAGEÐÞÕý	0	0	MAX_STRIKE_POINTÐÞÕý	0	0	
14329	Huy«n công	11	STD_IMPACT_011	1	-1	-1	-1	200	1	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	ÎïÀí¹¥»÷+	0	0	ÎïÀí·ÀÓù+	0	0	Ä§·¨¹¥»÷+	0	0	Ä§·¨·ÀÓù+	0	0	Bång công	0	0	±ùÏµ¿¹ÐÔÐÞÕý	0	0	Höa công	0	0	»ðÏµ¿¹ÐÔÐÞÕý	0	0	Huy«n công	60	0	µçÏµ¿¹ÐÔÐÞÕý	0	0	Ðµc công	0	0	¶¾Ïµ¿¹ÐÔÐÞÕý	0	0	MAX_HPÐÞÕý	0	0	MAX_MPÐÞÕý	0	0	MAX_RAGEÐÞÕý	0	0	MAX_STRIKE_POINTÐÞÕý	0	0	
																																																																											
14331	Ðµc công	11	STD_IMPACT_011	1	-1	-1	-1	200	1	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	ÎïÀí¹¥»÷+	0	0	ÎïÀí·ÀÓù+	0	0	Ä§·¨¹¥»÷+	0	0	Ä§·¨·ÀÓù+	0	0	Bång công	0	0	±ùÏµ¿¹ÐÔÐÞÕý	0	0	Höa công	0	0	»ðÏµ¿¹ÐÔÐÞÕý	0	0	Huy«n công	0	0	µçÏµ¿¹ÐÔÐÞÕý	0	0	Ðµc công	2	0	¶¾Ïµ¿¹ÐÔÐÞÕý	0	0	MAX_HPÐÞÕý	0	0	MAX_MPÐÞÕý	0	0	MAX_RAGEÐÞÕý	0	0	MAX_STRIKE_POINTÐÞÕý	0	0	
14332	Ðµc công	11	STD_IMPACT_011	1	-1	-1	-1	200	1	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	ÎïÀí¹¥»÷+	0	0	ÎïÀí·ÀÓù+	0	0	Ä§·¨¹¥»÷+	0	0	Ä§·¨·ÀÓù+	0	0	Bång công	0	0	±ùÏµ¿¹ÐÔÐÞÕý	0	0	Höa công	0	0	»ðÏµ¿¹ÐÔÐÞÕý	0	0	Huy«n công	0	0	µçÏµ¿¹ÐÔÐÞÕý	0	0	Ðµc công	4	0	¶¾Ïµ¿¹ÐÔÐÞÕý	0	0	MAX_HPÐÞÕý	0	0	MAX_MPÐÞÕý	0	0	MAX_RAGEÐÞÕý	0	0	MAX_STRIKE_POINTÐÞÕý	0	0	
14333	Ðµc công	11	STD_IMPACT_011	1	-1	-1	-1	200	1	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	ÎïÀí¹¥»÷+	0	0	ÎïÀí·ÀÓù+	0	0	Ä§·¨¹¥»÷+	0	0	Ä§·¨·ÀÓù+	0	0	Bång công	0	0	±ùÏµ¿¹ÐÔÐÞÕý	0	0	Höa công	0	0	»ðÏµ¿¹ÐÔÐÞÕý	0	0	Huy«n công	0	0	µçÏµ¿¹ÐÔÐÞÕý	0	0	Ðµc công	6	0	¶¾Ïµ¿¹ÐÔÐÞÕý	0	0	MAX_HPÐÞÕý	0	0	MAX_MPÐÞÕý	0	0	MAX_RAGEÐÞÕý	0	0	MAX_STRIKE_POINTÐÞÕý	0	0	
