INT	STRING
183	Guild's expansion value increases to %d
184	Guild's gold increases to #{_MONEY%d}
185	Guild's gold decreases to #{_MONEY%d}
186	#YGuild Point increases %d points.
187	#YGuild Point decreases %d points
188	Congratulate you for succeeding in building a citadel %s guild. Use ALT+O or check and manage guild through Guild's chartacter's function interface. 
189	Guild %s denied your suggestion.
190	You and %s was ajar. You left %s.
191	Your right was changed, congratulate you for being new Guild Master.
192	Because our Guild Master was not online for a long time, Vice Guild Master #{_INFOUSR%s} assigns all the most important missions of the guild, which prove that he deserves to be new Guild Master!
193	Because you was not online for a week, Vice Guild Master %s tried his best for the Guild's city and became new Guild Master. 
194	#R%s #YCitadel of #R%s #YGuild, succeeded due to #R#{CityBuildingName_T0_L%d} #Yand upgraded due to #R#{CityBuildingName_T0_L%d}#Y, you guy worked so hard.
195	The citadel's level of our Guild increased to #{CityBuildingName_T0_L%d}, level is %d, keep the effort, buid a brighter tomorrow together!
196	This citadel is under low protection, protection fee for this time is #{_MONEY%d}
197	This citadel is under high protection, protection fee for this time is #{_MONEY%d}
198	#Y Our Guild level upgrading successful #R#{CityBuildingName_T%d_L%d}, #Y mission completed, you worked so hard! 
199	#YOur citadel's analysis successful #R#{_ITEM%d}#Y. You worked so hard!
200	Congratulation %s Your guild occupied the manor %s
201	Congratulation %s Your guild occupied the manor %s to build up the guild city.
202	%s citadel of %s guild run business badly, so it was closed.
203	 Guild's mass 
204	 Guild Master 
205	 Vice Guild Master 
206	 Interior Interior Officer 
207	 Officer
208	 Mission Officer
209	 Trader 
210	 Elite 
211	For being not enough 5 online guild member for 7 days, your guild will be disbanded, if you want to reform a guild, meet Just Fan at Lou Yang (140, 95).
212	Your guild was disbanded.
213	The weather today is so great!
214	Your pet is pregnant, after  %d minutes it will give a birth. 
215	Your pet successfully gave a birth, after reproduction #Y%d hours#W go to#GSu Zhou (87, 143) #cff99ccSid Cloud#W to receive young pet, or that pet will be confiscated. plase go with#B%s#Wparty to receive. #R %d-%d-%d %d:%.2d
216	You did not come in time, your pet had been pregnant before. I will take its livestock management.  Your sincerely. 
217	Mông Di®n ÐÕi ÐÕo
218	Attention: Guild %s challenged your guild in #{_TIME%d}, you will be under fighting status for 2 hours, killing opponent guild's member will not increase the crime point, but you will be punished after death.
219	Guild %s was ready to fight our guild in sense of initiative, they are so intolerable, lets raise our guild's fame today!
220	Our guild was so big and palatial, but there are some aggression today, my command, we will fight the guild%s, to show our prestige out! 
221	Guild %s will take guild %s in battles, who will be the winner, wait for it! 
222	Boom, boom, boom! The war postponing sign! All guild temporary please stop fighting, My guild and guild %was in a intense battle, we are all exhausted now so both sides decided to stop here and continue the fight tomorrow! 
223	%s #cff0000Attention! Your guild is under challenge status, click in guild interface for more information.
224	@*;SrvMsg;GLD:My guild's major #{_INFOUSR%s} was suddenly #{_INFOUSR%s} killed, which make others angry!
225	@*;SrvMsg;GLD:My guild's major #{_INFOUSR%s} was suddenly #{_INFOUSR%s} by member of guild #G[%s] #Wkilled, which make others angry!
226	#cff0000Guild massage: #c6699ff%s
227	You have not been twinned yet, cannot get the twinning title.
228	You used to get the twinning title, cannot change the title
229	#{_TIME%d}: % buy materials #R#{_ITEM%d}#W]X%d with the amount of money #{_MONEY%d}
230	Toolbar
231	#RWelcome your materials repurchase #{_INFOMSG%s} Go to Lou Yang shop  [232,155]to check
232	Please upgrade the discipline of all book to 90
233	Please upgrade the discipline of all book to 100
234	Please upgrade the discipline of all book to 110
235	Please upgrade the discipline of all book to 120
236	Please upgrade the discipline of all book to 130
237	#{safeboxmsg1}
238	Attention#r protected treasure box will be opened in %d days #{safeboxmsg2}
239	Attention#r protected treasure box will be opened in %d hours %d minutes #{safeboxmsg3}
240	#{_INFOUSR%s} doing the trading mission, by people of #G[%s]#W named #{_INFOUSR%s} killed, robbed all the gold, it's so discomfort!
241	#{_INFOUSR%s} doing the trading mission suddenly be #{_INFOUSR%s} killed and robbed. That makes others angry!
242	You are a stock draw, cannot exchange!
243	League's name was already exist, act performing failed, your gold was repaid!
244	Level is smaller %d, cannot transform
245	Location change successful
246	Change failed, need 24 hours from the last change
247	Illegal job's name
248	Officer
249	Newbie
250	Ensign
251	Lieutenant
252	Captain
253	Major
254	3rd Colonel
255	2nd Colonel
256	1st Colonel
257	Brigadier General
258	Major General
259	Marshal
260	Title ordaining failed
261	Cannot ordain the title
262	Title change succesful, please take Gold copybook to Lou Yang(200,103) to get new title.
263	Title change succesful, please take Gold copybook to #YLou Yang(200,103) #GMinister of Song #R to get new title.
264	#YGuilf upgrade successful #R#{CityBuildingName_T%d_L%d},#Ybuilding mission completed, we succeeded!
265	Because you were injured #{_ITEM%d} was stolen.
266	Because you were injured #{_ITEM%d} decrased the number of mend times to 0
267	Because you were injured #{_ITEM%d} lock was stolen
268	Because you were injured #{_ITEM%d} lock was stolen, number of mend times decrease 1 point
269	Because you were injured #{_ITEM%d} was stolen
270	Because you were injured r¤t n£ng #{_ITEM%d} was stolen
271	Because you were injured r¤t n£ng #{_ITEM%d} lock was stolen
272	Because you were injured r¤t n£ng #{_ITEM%d} was stolen
273	Illegal citadel name.
274	#I New guild%s #I formed by %s #I 
275	Your title #Y%s#W is on using time, system was rehabilitated!
276	You were %s slained
277	Congratulation, citadel % of your guild% was formed successfully. You can run construction, analysis, trading city.
278	You do not have right to change.
279	Mend failed, expired data.
280	Change successful.
281	Assign the develope mission.
282	Decreased for jobs.
283	Cannot adjust for this mission.
284	NgoÕch ngoÕi hoÕch bang c¯ng
285	NgoÕch ngoÕi hoÕch ð¡c kim ti«n
286	Tùng tß·ng l® trung kh¤u tr× bang c¯ng
287	Tr× giäi thß·ng
288	Can manage jobs only 1 time per 24 hours.
289	Foreclose the guild.
290	Not Being member of the league.
291	Successfully deported from the league
292	Only Champion can do this.
293	Champion cannot dismiss.
294	Status cannot transmit.
295	#{_INFOUSR%s} promotion #{_INFOMSG%s} X %d plus tokens fee.
296	This section does not trade item.
297	Immutable tokens.
298	You are under fighting status, cannot move.
299	Convoying status.
300	#PAnnouncement, Guild fight! Guild #H%s#P challenged guild #H%s#P in a mortal battle, who win be the winner today #H%s#P , wait for the answer! 
301	#IGuild Announcement ! #H%s#I was so egotistic, that dare to challenge us,  we desired all you guild member quickly assemble #H%s#I to fight for our prestige! 
302	#H%s#P to fight #H%s#P challenge, prepare for battle? Unpredictable battlefield. All heroes, quickly get in the Thunderdome battlefiled!
303	#H%s#P denied the challenge of guild #H%s#P. May the guild  #H%s#P be the champion in life?
304	#IWe accept the challenge of guild #H%s#I, you guy can visit Lou Yang - Andy Chou(265,50) to take the battlefield.
305	#PIn the last battle, #H%s#P with high fighting spririt, hit #H%s#P and be the winner. Come to Lou Yang and cheer them!
306	#PIn the last battle, #H%s#Pwas slained by guild #H%s#P.
307	You left the guild, your title #Y%s#W was invalid.
308	Your guild have no right to own Lou Yang city, the title #Y%s#W invalid.
309	#{_INFOUSR%s} pet#{_INFOMSG%s}, plus fee%d tokens.
