INT	INT	INT	INT	STRING	INT	STRING	STRING
100114	3	721	-1	Trß¶ng sinh th¥n tiên thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính, trß·ng thành #GMÕnh M¨#Y, tß ch¤t #GKinh Thiên #Ym¾i ðÕt ðßþc danh hi®u này."
100120	3	432	-1	Trß¶ng sinh thiên thú	-1	#ebb3e9f#cfd94b0	"#YNgµ tính #GTrác Nhî B¤t Qu¥n#Y, Trß·ng thành #GSiêu Phàm Thoát Tøc #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100121	3	532	-1	Trß¶ng sinh thiên linh thú	-1	#ebb3e9f#cfd94b0	"#YTrân thú có ngµ tính, tß ch¤t#GMÕnh M¨#Y, trß·ng thành#GSiêu Phàm #Ym¾i ðÕt ðßþc danh hi®u này."
100122	3	632	-1	Trß¶ng sinh thiên thánh thú	-1	#e96491f#gFF0FA0	"#YNgµ tính #GTrác Nhî B¤t Qu¥n#Y, Tß ch¤t #GSiêu Phàm Thoát Tøc #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100123	3	732	-1	Trß¶ng sinh thiên tiên thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính #GMÕnh M¨#Y, trß·ng thành#GSiêu Phàm#Y, tß ch¤t #GVô Song #Ym¾i ðÕt ðßþc danh hi®u này."
100124	3	832	-1	Trß¶ng sinh thiên th¥n thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính #GMÕnh M¨#Y, trß·ng thành#GSiêu Phàm#Y, tß ch¤t #GKinh Thiên #Ym¾i ðÕt ðßþc danh hi®u này."
100130	3	543	-1	Trß¶ng sinh nguyên thú	-1	#ebb3e9f#cfd94b0	"#YNgµ tính #GTrác Nhî B¤t Qu¥n#Y, Trß·ng thành #GThiên HÕ Vô Song #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100131	3	643	-1	Trß¶ng sinh nguyên linh thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính, tß ch¤t#GMÕnh M¨#Y, trß·ng thành #GVô Song #Ym¾i ðÕt ðßþc danh hi®u này."
100132	3	743	-1	Trß¶ng sinh nguyên thánh thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính #GMÕnh M¨#Y, trß·ng thành #GVô Song#Y, tß ch¤t #GSiêu Phàm#Ym¾i ðÕt ðßþc danh hi®u này."
100133	3	843	-1	Trß¶ng sinh nguyên tiên thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính #GMÕnh M¨#Y, trß·ng thành, tß ch¤t #GVô Song #Ym¾i ðÕt ðßþc danh hi®u này."
100134	3	943	-1	Trß¶ng sinh nguyên th¥n thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính #GMÕnh M¨#Y, trß·ng thành#GVô Song#Y, tß ch¤t #GKinh Thiên#Ym¾i ðÕt ðßþc danh hi®u này."
100140	3	654	-1	Trß¶ng sinh siêu thú	-1	#e96491f#gFF0FA0	"#YNgµ tính #GTrác Nhî B¤t Qu¥n#Y, Trß·ng thành #GCh¤n C± Thß¾c Kim #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100141	3	754	-1	Trß¶ng sinh siêu linh thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính, tß ch¤t#GMÕnh M¨#Y, trß·ng thành #GKinh Thiên #Ym¾i ðÕt ðßþc danh hi®u này."
100142	3	854	-1	Trß¶ng sinh siêu thánh thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính #GMÕnh M¨#Y, trß·ng thành #GKinh Thiên#Y, tß ch¤t #GSiêu Phàm#Ym¾i ðÕt ðßþc danh hi®u này."
100143	3	954	-1	Trß¶ng sinh siêu tiên thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính #GMÕnh M¨#Y, trß·ng thành #GKinh Thiên#Y, tß ch¤t #GVô Song #Ym¾i ðÕt ðßþc danh hi®u này."
100144	3	1054	-1	Trß¶ng sinh siêu th¥n thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính #GMÕnh M¨#Y, trß·ng thành, tß ch¤t #GKinh Thiên #Ym¾i ðÕt ðßþc danh hi®u này."
100200	3	420	-1	Thiên niên thú	-1	#ebb3e9f#cfd94b0	#YNgµ tính #GSiêu Phàm Thoát Tøc #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này.
100201	3	520	-1	Thiên niên linh thú	-1	#ebb3e9f#cfd94b0	"#YNgµ tính #GSiêu Phàm Thoát Tøc#Y, Tß ch¤t #GTrác Nhî B¤t Qu¥n #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100202	3	620	-1	Thiên niên thánh thú	-1	#e96491f#gFF0FA0	"#YNgµ tính, Tß ch¤t #GSiêu Phàm Thoát Tøc #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100203	3	720	-1	Thiên niên tiên thú	-1	#e96491f#gFF0FA0	"#YNgµ tính #GSiêu Phàm Thoát Tøc#Y, Tß ch¤t #GThiên HÕ Vô Song #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100204	3	820	-1	Thiên niên th¥n thú	-1	#e96491f#gFF0FA0	"#YNgµ tính #GSiêu Phàm Thoát Tøc#Y, Tß ch¤t #GCh¤n C± Thß¾c Kim #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100210	3	531	-1	Thiên niên ð¸a thú	-1	#ebb3e9f#cfd94b0	"#YNgµ tính #GSiêu Phàm Thoát Tøc#Y, Trß·ng thành #GTrác Nhî B¤t Qu¥n #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100211	3	631	-1	Thiên niên ð¸a linh thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính #GSiêu Phàm#Y, trß·ng thành, tß ch¤t #GMÕnh M¨ #Ym¾i ðÕt ðßþc danh hi®u này."
100212	3	731	-1	Thiên niên ð¸a thánh thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính , tß ch¤t #GSiêu Phàm#Y, trß·ng thành #GMÕnh M¨ #Ym¾i ðÕt ðßþc danh hi®u này."
100213	3	831	-1	Thiên niên ð¸a tiên thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính #GSiêu Phàm#Y, trß·ng thành#GMÕnh M¨#Y, tß ch¤t #GVô Song#Ym¾i ðÕt ðßþc danh hi®u này."
100214	3	931	-1	Thiên niên ð¸a th¥n thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính #GSiêu Phàm#Y, trß·ng thành #GMÕnh M¨#Y, tß ch¤t #GKinh Thiên #Ym¾i ðÕt ðßþc danh hi®u này."
100220	3	642	-1	Thiên niên thiên thú	-1	#e96491f#gFF0FA0	"#YNgµ tính, Trß·ng thành #GSiêu Phàm Thoát Tøc #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100221	3	742	-1	Thiên niên thiên linh thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính , trß·ng thành #GSiêu Phàm#Y, tß ch¤t #GMÕnh M¨#Ym¾i ðÕt ðßþc danh hi®u này."
100222	3	842	-1	Thiên niên thiên thánh thú	-1	#e96491f#gFF0FA0	"#YNgµ tính, Trß·ng thành, Tß ch¤t #GSiêu Phàm Thoát Tøc #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100223	3	942	-1	Thiên niên thiên tiên thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính , trß·ng thành #GSiêu Phàm#Y, tß ch¤t #GVô Song #Ym¾i ðÕt ðßþc danh hi®u này."
100224	3	1042	-1	Thiên niên thiên th¥n thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính , trß·ng thành #GSiêu Phàm#Y, tß ch¤t #GKinh Thiên #Ym¾i ðÕt ðßþc danh hi®u này."
100230	3	753	-1	Thiên niên nguyên thú	-1	#e96491f#gFF0FA0	"#YNgµ tính #GSiêu Phàm Thoát Tøc#Y, Trß·ng thành #GThiên HÕ Vô Song #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100231	3	853	-1	Thiên niên nguyên linh thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính #GSiêu Phàm#Y, trß·ng thành #GVô Song#Y, tß ch¤t #GMÕnh M¨ #Ym¾i ðÕt ðßþc danh hi®u này."
100232	3	953	-1	Thiên niên nguyên thánh thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính , tß ch¤t #GSiêu Phàm#Y, trß·ng thành#GVô Song #Ym¾i ðÕt ðßþc danh hi®u này."
100233	3	1053	-1	Thiên niên nguyên tiên thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính #GSiêu Phàm#Y, trß·ng thành, tß ch¤t #GVô Song #Ym¾i ðÕt ðßþc danh hi®u này."
100234	3	1153	-1	Thiên niên nguyên th¥n thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính #GSiêu Phàm#Y, trß·ng thành #GVô Song#Y, tß ch¤t #GKinh Thiên #Ym¾i ðÕt ðßþc danh hi®u này."
100240	3	864	-1	Thiên niên siêu thú	-1	#e96491f#gFF0FA0	"#YNgµ tính #GSiêu Phàm Thoát Tøc#Y, Trß·ng thành #GCh¤n C± Thß¾c Kim #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100241	3	964	-1	Thiên niên siêu linh thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính #GSiêu Phàm#Y, trß·ng thành #GKinh Thiên#Y, tß ch¤t #GMÕnh M¨ #Ym¾i ðÕt ðßþc danh hi®u này."
100242	3	1064	-1	Thiên niên siêu thánh thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính , tß ch¤t #GSiêu Phàm#Y, trß·ng thành #GKinh Thiên #Ym¾i ðÕt ðßþc danh hi®u này."
100243	3	1164	-1	Thiên niên siêu tiên thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính #GSiêu Phàm#Y, trß·ng thành #GKinh Thiên#Y, tß ch¤t #GVô Song #Ym¾i ðÕt ðßþc danh hi®u này."
100244	3	1264	-1	Thiên niên siêu th¥n thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính #GSiêu Phàm#Y, trß·ng thành, tß ch¤t #GKinh Thiên #Ym¾i ðÕt ðßþc danh hi®u này."
100300	3	630	-1	CØu chuy¬n thú	-1	#e96491f#gFF0FA0	#YNgµ tính #GThiên HÕ Vô Song #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này.
100301	3	730	-1	CØu chuy¬n linh thú	-1	#e96491f#gFF0FA0	"#YNgµ tính #GThiên HÕ Vô Song#Y, Tß ch¤t #GTrác Nhî B¤t Qu¥n #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100302	3	830	-1	CØu chuy¬n thánh thú	-1	#e96491f#gFF0FA0	"#YNgµ tính #GThiên HÕ Vô Song#Y, Tß ch¤t #GSiêu Phàm Thoát Tøc #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100303	3	930	-1	CØu chuy¬n tiên thú	-1	#e96491f#gFF0FA0	"#YNgµ tính, Tß ch¤t #GThiên HÕ Vô Song #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100304	3	1030	-1	CØu chuy¬n th¥n thú	-1	#e96491f#gFF0FA0	"#YNgµ tính #GThiên HÕ Vô Song#Y, Tß ch¤t #GCh¤n C± Thß¾c Kim #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100310	3	741	-1	CØu chuy¬n ð¸a thú	-1	#e96491f#gFF0FA0	"#YNgµ tính #GThiên HÕ Vô Song#Y, Trß·ng thành #GTrác Nhî B¤t Qu¥n #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100311	3	841	-1	CØu chuy¬n ð¸a linh thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính #GVô Song#Y, trß·ng thành, tß ch¤t #GMÕnh M¨ #Ym¾i ðÕt ðßþc danh hi®u này."
100312	3	941	-1	CØu chuy¬n ð¸a thánh thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính #GVô Song#Y, trß·ng thành #GMÕnh M¨#Y, tß ch¤t #GSiêu Phàm#Ym¾i ðÕt ðßþc danh hi®u này."
100313	3	1041	-1	CØu chuy¬n ð¸a tiên thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính, tß ch¤t #GVô Song#Y, trß·ng thành #GMÕnh M¨ #Ym¾i ðÕt ðßþc danh hi®u này."
100314	3	1141	-1	CØu chuy¬n ð¸a th¥n thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính #GVô Song#Y, trß·ng thành #GMÕnh M¨#Y, tß ch¤t #GKinh Thiên #Ym¾i ðÕt ðßþc danh hi®u này."
100320	3	852	-1	CØu chuy¬n thiên thú	-1	#e96491f#gFF0FA0	"#YNgµ tính #GThiên HÕ Vô Song#Y, Trß·ng thành #GSiêu Phàm Thoát Tøc #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100321	3	952	-1	CØu chuy¬n thiên linh thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính #GVô Song#Y, trß·ng thành #GSiêu Phàm#Y, tß ch¤t #GMÕnh M¨ #Ym¾i ðÕt ðßþc danh hi®u này."
100322	3	1052	-1	CØu chuy¬n thiên thánh thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính #GVô Song#Y, trß·ng thành, tß ch¤t #GSiêu Phàm #Ym¾i ðÕt ðßþc danh hi®u này."
100323	3	1152	-1	CØu chuy¬n thiên tiên thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính, tß ch¤t#GVô Song#Y, trß·ng thành #GSiêu Phàm #Ym¾i ðÕt ðßþc danh hi®u này."
