INT	STRING	STRING	INT	INT	STRING	INT	INT	INT
204	平魚	小动物/鱼群03.model	9				712000	
205	鱔魚	小动物/鱼群03.model	9				712000	
206	黑魚	小动物/鱼群03.model	9				712000	
207	鬥魚	小动物/鱼群03.model	9				712000	
208	鯧魚	小动物/鱼群03.model	9				712000	
209	銀魚	小动物/鱼群03.model	9				712000	
210	鮭魚	小动物/鱼群03.model	9				712000	
211	骨舌魚	小动物/鱼群03.model	9				712000	
212	六線魚	小动物/鱼群03.model	9				712000	
213	青魚	小动物/鱼群04.model	9				712000	
214	箭魚	小动物/鱼群04.model	9				712000	
215	鱸魚	小动物/鱼群04.model	9				712000	
216	扁頭魚	小动物/鱼群04.model	9				712000	
217	油力魚	小动物/鱼群04.model	9				712000	
218	秋刀魚	小动物/鱼群04.model	9				712000	
219	梭魚	小动物/鱼群04.model	9				712000	
220	光背魚	小动物/鱼群04.model	9				712000	
221	鉤魚	小动物/鱼群04.model	9				712000	
222	擺鰭魚	小动物/鱼群04.model	9				712000	
223	珍珠魚	小动物/鱼群04.model	9				712000	
224	文昌魚	小动物/鱼群04.model	9				712000	
225	草魚	小动物/鱼群01.model	9				712000	
226	鯽魚	小动物/鱼群01.model	9				712000	
227	鰱魚	小动物/鱼群01.model	9				712000	
228	平魚	小动物/鱼群01.model	9				712000	
229	鱔魚	小动物/鱼群01.model	9				712000	
230	黑魚	小动物/鱼群01.model	9				712000	
231	鬥魚	小动物/鱼群01.model	9				712000	
232	鯧魚	小动物/鱼群01.model	9				712000	
233	銀魚	小动物/鱼群01.model	9				712000	
234	鮭魚	小动物/鱼群01.model	9				712000	
235	骨舌魚	小动物/鱼群01.model	9				712000	
236	六線魚	小动物/鱼群01.model	9				712000	
237	青魚	小动物/鱼群02.model	9				712000	
238	箭魚	小动物/鱼群02.model	9				712000	
239	鱸魚	小动物/鱼群02.model	9				712000	
240	扁頭魚	小动物/鱼群02.model	9				712000	
241	油力魚	小动物/鱼群02.model	9				712000	
242	秋刀魚	小动物/鱼群02.model	9				712000	
243	梭魚	小动物/鱼群02.model	9				712000	
244	光背魚	小动物/鱼群02.model	9				712000	
245	鉤魚	小动物/鱼群02.model	9				712000	
246	擺鰭魚	小动物/鱼群02.model	9				712000	
247	珍珠魚	小动物/鱼群02.model	9				712000	
248	文昌魚	小动物/鱼群02.model	9				712000	
249	胭脂魚	小动物/鱼群02.model	9				712000	
250	七星魚	小动物/鱼群01.model	9				712000	
251	長吻魚	小动物/鱼群01.model	9				712000	
252	多鰭魚	小动物/鱼群01.model	9				712000	
253	翹嘴紅鮊	小动物/鱼群02.model	9				712000	
254	秋白鮭	小动物/鱼群01.model	9				712000	
255	蝶鰭魚	小动物/鱼群01.model	9				712000	
256	文鰩魚	小动物/鱼群01.model	9				712000	
501	早產小麥（幼苗）	种植/小麦小.mesh	-1				711000	
502	早產小麥（生長中）	种植/小麦中.mesh	-1				711001	
503	早產小麥	种植/小麦大.mesh	10				711002	
504	早產大米（幼苗）	种植/大米小.mesh	-1				711000	
505	早產大米（生長中）	种植/大米中.mesh	-1				711001	
506	早產大米	种植/大米大.mesh	10				711002	
507	早產玉米（幼苗）	种植/种植玉米小.mesh	-1				711000	
508	早產玉米（生長中）	种植/种植玉米中.mesh	-1				711001	
509	早產玉米	种植/种植玉米大.mesh	10				711002	
510	早產花生（幼苗）	种植/花生小.mesh	-1				711000	
511	早產花生（生長中）	种植/花生中.mesh	-1				711001	
512	早產花生	种植/花生大.mesh	10				711002	
513	早產紅薯（幼苗）	种植/红薯小.mesh	-1				711000	
514	早產紅薯（生長中）	种植/红薯中.mesh	-1				711001	
515	早產紅薯	种植/红薯大.mesh	10				711002	
516	早產高粱（幼苗）	种植/高粱小.mesh	-1				711000	
517	早產高粱（生長中）	种植/高粱中.mesh	-1				711001	
518	早產高粱	种植/高粱大.mesh	10				711002	
519	早產芝麻（幼苗）	种植/芝麻小.mesh	-1				711000	
520	早產芝麻（生長中）	种植/芝麻中.mesh	-1				711001	
521	早產芝麻	种植/芝麻大.mesh	10				711002	
522	早產綠豆（幼苗）	种植/绿豆小.mesh	-1				711000	
523	早產綠豆（生長中）	种植/绿豆中.mesh	-1				711001	
524	早產綠豆	种植/绿豆大.mesh	10				711002	
525	早產黃豆（幼苗）	种植/黄豆小.mesh	-1				711000	
526	早產黃豆（生長中）	种植/黄豆中.mesh	-1				711001	
527	早產黃豆	种植/黄豆大.mesh	10				711002	
528	早產蠶豆（幼苗）	种植/蚕豆小.mesh	-1				711000	
529	早產蠶豆（生長中）	种植/蚕豆中.mesh	-1				711001	
530	早產蠶豆	种植/蚕豆大.mesh	10				711002	
531	早產馬鈴薯（幼苗）	种植/土豆小.mesh	-1				711000	
532	早產馬鈴薯（生長中）	种植/土豆中.mesh	-1				711001	
533	早產馬鈴薯	种植/土豆大.mesh	10				711002	
534	早產芋頭（幼苗）	种植/芋头小.mesh	-1				711000	
535	早產芋頭（生長中）	种植/芋头中.mesh	-1				711001	
536	早產芋頭	种植/芋头大.mesh	10				711002	
537	早產麻（幼苗）	种植/小麦小.mesh	-1				711000	
538	早產麻（生長中）	种植/小麦中.mesh	-1				711001	
539	早產麻	种植/小麦大.mesh	10				711002	
540	早產棉（幼苗）	种植/小麦小.mesh	-1				711000	
541	早產棉（生長中）	种植/小麦中.mesh	-1				711001	
542	早產棉	种植/小麦大.mesh	10				711002	
543	早產綢（幼苗）	种植/小麦小.mesh	-1				711000	
544	早產綢（生長中）	种植/小麦中.mesh	-1				711001	
545	早產綢	种植/小麦大.mesh	10				711002	
546	早產帛（幼苗）	种植/小麦小.mesh	-1				711000	
547	早產帛（生長中）	种植/小麦中.mesh	-1				711001	
548	早產帛	种植/小麦大.mesh	10				711002	
549	早產絹（幼苗）	种植/小麦小.mesh	-1				711000	
550	早產絹（生長中）	种植/小麦中.mesh	-1				711001	
551	早產絹	种植/小麦大.mesh	10				711002	
552	早產絲（幼苗）	种植/小麦小.mesh	-1				711000	
553	早產絲（生長中）	种植/小麦中.mesh	-1				711001	
554	早產絲	种植/小麦大.mesh	10				711002	
555	早產緞（幼苗）	种植/小麦小.mesh	-1				711000	
556	早產緞（生長中）	种植/小麦中.mesh	-1				711001	
557	早產緞	种植/小麦大.mesh	10				711002	
558	早產綾（幼苗）	种植/小麦小.mesh	-1				711000	
559	早產綾（生長中）	种植/小麦中.mesh	-1				711001	
560	早產綾	种植/小麦大.mesh	10				711002	
561	早產羅（幼苗）	种植/小麦小.mesh	-1				711000	
562	早產羅（生長中）	种植/小麦中.mesh	-1				711001	
563	早產羅	种植/小麦大.mesh	10				711002	
564	早產絨（幼苗）	种植/小麦小.mesh	-1				711000	
565	早產絨（生長中）	种植/小麦中.mesh	-1				711001	
566	早產絨	种植/小麦大.mesh	10				711002	
567	早產紗（幼苗）	种植/小麦小.mesh	-1				711000	
568	早產紗（生長中）	种植/小麦中.mesh	-1				711001	
569	早產紗	种植/小麦大.mesh	10				711002	
570	早產錦（幼苗）	种植/小麦小.mesh	-1				711000	
571	早產錦（生長中）	种植/小麦中.mesh	-1				711001	
572	早產錦	种植/小麦大.mesh	10				711002	
573	散落的寶物	师门任务/宝箱.mesh	26				712501	
574	小青蛇	任务蛇1.obj	26				715010	
575	小白蛇	任务蛇2.obj	26				715011	
576	小紅蛇	任务蛇3.obj	26				715012	
577	宋軍記號	师门任务/箱.obj	26				715013	
578	波斯記號	师门任务/瓶子4.obj	26				715014	
579	遼國記號	师门任务/米筐.obj	26				715015	
580	武當靈芝	师门任务/灵芝.obj	26				715016	
581	武當首烏	师门任务/何首乌.obj	26				715017	
582	武當人參	师门任务/人参2.obj	26				715018	
583	逍遙木制零件	师门任务/傀儡中央模组.obj	26				715019	
584	逍遙石制零件	师门任务/傀儡数据存储器.obj	26				715020	
585	逍遙銅制零件	师门任务/傀儡磁盘驱动器.obj	26				715021	
586	小黃猴	任务猴子1.obj	26				715022	
587	小黑猴	任务猴子2.obj	26				715023	
588	小白猴	任务猴子3.obj	26				715024	
589	毒蜈蚣	任务蜈蚣.obj	26				715025	
590	毒蟾蜍	任务蟾蜍.obj	26				715026	
591	毒蜘蛛	任务蜘蛛.obj	26				715027	
592	葡萄乾	师门任务/葡萄干.obj	26				715028	
593	雪蓮花	师门任务/雪莲花.obj	26				715029	
594	哈密瓜	师门任务/哈密瓜.obj	26				715030	
595	寶箱	师门任务/宝箱.mesh	26				715031	
596	散落的寶物	师门任务/宝箱.mesh	26				712502	
597	散落的寶物	师门任务/宝箱.mesh	26				712503	
598	散落的寶物	师门任务/宝箱.mesh	26				712504	
599	散落的寶物	师门任务/宝箱.mesh	26				712505	
600	散落的寶物	师门任务/宝箱.mesh	26				712506	
601	散落的寶物	师门任务/宝箱.mesh	26				712507	
602	散落的寶物	师门任务/宝箱.mesh	26				712508	
603	散落的寶物	师门任务/宝箱.mesh	26				712509	
604	散落的寶物	师门任务/宝箱.mesh	26				712510	
605	散落的寶物	师门任务/宝箱.mesh	26				712511	
606	散落的寶物	师门任务/宝箱.mesh	26				712512	
607	散落的寶物	师门任务/宝箱.mesh	26				712513	
608	散落的寶物	师门任务/宝箱.mesh	26				712514	
609	散落的寶物	师门任务/宝箱.mesh	26				712515	
610	散落的寶物	师门任务/宝箱.mesh	26				712516	
611	散落的寶物	师门任务/宝箱.mesh	26				712517	
612	散落的寶物	师门任务/宝箱.mesh	26				712518	
613	散落的寶物	师门任务/宝箱.mesh	26				712519	
614	散落的寶物	师门任务/宝箱.mesh	26				712520	
615	散落的寶物	师门任务/宝箱.mesh	26				712521	
616	散落的寶物	师门任务/宝箱.mesh	26				712522	
617	散落的寶物	师门任务/宝箱.mesh	26				712523	
618	散落的寶物	师门任务/宝箱.mesh	26				712524	
619	散落的寶物	师门任务/宝箱.mesh	26				712525	
620	散落的寶物	师门任务/宝箱.mesh	26				712528	
621	散落的寶物	师门任务/宝箱.mesh	26				712529	
622	散落的寶物	师门任务/宝箱.mesh	26				712530	
623	散落的寶物	师门任务/宝箱.mesh	26				712531	
624	散落的寶物	师门任务/宝箱.mesh	26				712532	
625	散落的寶物	师门任务/宝箱.mesh	26				712533	
701	晚產小麥（幼苗）	种植/小麦小.mesh	-1				711000	
702	晚產小麥（生長中）	种植/小麦中.mesh	-1				711001	
703	晚產小麥	种植/小麦大.mesh	10				711002	
704	晚產大米（幼苗）	种植/大米小.mesh	-1				711000	
705	晚產大米（生長中）	种植/大米中.mesh	-1				711001	
706	晚產大米	种植/大米大.mesh	10				711002	
707	晚產玉米（幼苗）	种植/种植玉米小.mesh	-1				711000	
708	晚產玉米（生長中）	种植/种植玉米中.mesh	-1				711001	
709	晚產玉米	种植/种植玉米大.mesh	10				711002	
710	晚產花生（幼苗）	种植/花生小.mesh	-1				711000	
711	晚產花生（生長中）	种植/花生中.mesh	-1				711001	
712	晚產花生	种植/花生大.mesh	10				711002	
713	晚產紅薯（幼苗）	种植/红薯小.mesh	-1				711000	
714	晚產紅薯（生長中）	种植/红薯中.mesh	-1				711001	
715	晚產紅薯	种植/红薯大.mesh	10				711002	
716	晚產高粱（幼苗）	种植/高粱小.mesh	-1				711000	
717	晚產高粱（生長中）	种植/高粱中.mesh	-1				711001	
718	晚產高粱	种植/高粱大.mesh	10				711002	
719	晚產芝麻（幼苗）	种植/芝麻小.mesh	-1				711000	
720	晚產芝麻（生長中）	种植/芝麻中.mesh	-1				711001	
721	晚產芝麻	种植/芝麻大.mesh	10				711002	
722	晚產綠豆（幼苗）	种植/绿豆小.mesh	-1				711000	
723	晚產綠豆（生長中）	种植/绿豆中.mesh	-1				711001	
724	晚產綠豆	种植/绿豆大.mesh	10				711002	
725	晚產黃豆（幼苗）	种植/黄豆小.mesh	-1				711000	
726	晚產黃豆（生長中）	种植/黄豆中.mesh	-1				711001	
727	晚產黃豆	种植/黄豆大.mesh	10				711002	
728	晚產蠶豆（幼苗）	种植/蚕豆小.mesh	-1				711000	
729	晚產蠶豆（生長中）	种植/蚕豆中.mesh	-1				711001	
730	晚產蠶豆	种植/蚕豆大.mesh	10				711002	
731	晚產馬鈴薯（幼苗）	种植/土豆小.mesh	-1				711000	
732	晚產馬鈴薯（生長中）	种植/土豆中.mesh	-1				711001	
733	晚產馬鈴薯	种植/土豆大.mesh	10				711002	
734	晚產芋頭（幼苗）	种植/芋头小.mesh	-1				711000	
735	晚產芋頭（生長中）	种植/芋头中.mesh	-1				711001	
736	晚產芋頭	种植/芋头大.mesh	10				711002	
737	晚產麻（幼苗）	种植/小麦小.mesh	-1				711000	
738	晚產麻（生長中）	种植/小麦中.mesh	-1				711001	
739	晚產麻	种植/小麦大.mesh	10				711002	
740	晚產棉（幼苗）	种植/小麦小.mesh	-1				711000	
741	晚產棉（生長中）	种植/小麦中.mesh	-1				711001	
742	晚產棉	种植/小麦大.mesh	10				711002	
743	晚產綢（幼苗）	种植/小麦小.mesh	-1				711000	
744	晚產綢（生長中）	种植/小麦中.mesh	-1				711001	
745	晚產綢	种植/小麦大.mesh	10				711002	
746	晚產帛（幼苗）	种植/小麦小.mesh	-1				711000	
747	晚產帛（生長中）	种植/小麦中.mesh	-1				711001	
748	晚產帛	种植/小麦大.mesh	10				711002	
749	晚產絹（幼苗）	种植/小麦小.mesh	-1				711000	
750	晚產絹（生長中）	种植/小麦中.mesh	-1				711001	
751	晚產絹	种植/小麦大.mesh	10				711002	
752	晚產絲（幼苗）	种植/小麦小.mesh	-1				711000	
753	晚產絲（生長中）	种植/小麦中.mesh	-1				711001	
754	晚產絲	种植/小麦大.mesh	10				711002	
755	晚產緞（幼苗）	种植/小麦小.mesh	-1				711000	
756	晚產緞（生長中）	种植/小麦中.mesh	-1				711001	
757	晚產緞	种植/小麦大.mesh	10				711002	
758	晚產綾（幼苗）	种植/小麦小.mesh	-1				711000	
759	晚產綾（生長中）	种植/小麦中.mesh	-1				711001	
760	晚產綾	种植/小麦大.mesh	10				711002	
761	晚產羅（幼苗）	种植/小麦小.mesh	-1				711000	
762	晚產羅（生長中）	种植/小麦中.mesh	-1				711001	
763	晚產羅	种植/小麦大.mesh	10				711002	
764	晚產絨（幼苗）	种植/小麦小.mesh	-1				711000	
765	晚產絨（生長中）	种植/小麦中.mesh	-1				711001	
766	晚產絨	种植/小麦大.mesh	10				711002	
767	晚產紗（幼苗）	种植/小麦小.mesh	-1				711000	
768	晚產紗（生長中）	种植/小麦中.mesh	-1				711001	
769	晚產紗	种植/小麦大.mesh	10				711002	
770	晚產錦（幼苗）	种植/小麦小.mesh	-1				711000	
771	晚產錦（生長中）	种植/小麦中.mesh	-1				711001	
772	晚產錦	种植/小麦大.mesh	10				711002	
773	普通喜糖	喜包/普通喜包.mesh	26				712526	
774	高級喜糖	喜包/高级喜包.mesh	26				712526	
775	豪華喜糖	喜包/豪华喜包.mesh	26				712526	
776	鏡湖千年草	草药矿石/仙丹灵药.obj	26				710531	
777	螢火蟲	草药矿石/萤火虫.obj	26				712527	
778	雪堆	0物品/npc雪堆.obj	26				712526	
779	聖誕寶箱	喜包/豪华喜包.mesh	26				712526	
780	年獸寶箱	喜包/豪华喜包.mesh	26				50052	
781	年獸寶箱	喜包/高级喜包.mesh	26				50055	
782	孔明燈	草药矿石/孔明灯1.obj	26				808085	
783	孔明燈	草药矿石/孔明灯2.obj	26				808085	
784	孔明燈	草药矿石/孔明灯3.obj	26				808085	
785	香薰	草药矿石/香薷.obj	8				710000	
786	梔子	草药矿石/桅子.obj	8				710000	
787	雙花	草药矿石/双花.obj	8				710000	
788	青葉	草药矿石/青叶.obj	8				710000	
789	紅花	草药矿石/红花.obj	8				710000	
790	茈碧礦石	草药矿石/茈碧矿石.obj	7				710000	
791	砾石	草药矿石/光滑的石头.obj	50				712534	
792	雁翎	草药矿石/大雁羽毛.obj	50				712534	
793	七叶莲	草药矿石/七叶莲.obj	50				712534	
794	白虎石	草药矿石/kvk白虎石.obj	51				710016	
795	盘古石	草药矿石/kvk女娲石.obj	51				710019	
796	青龍石	草药矿石/kvk青龙石.obj	51				710015	
797	玄武石	草药矿石/kvk玄武石.obj	51				710018	
798	朱雀石	草药矿石/kvk朱雀石.obj	51				710017	
