INT	INT	STRING	STRING	STRING	INT	INT	INT	STRING	INT
16	1	ÄÐÖ÷½ÇÁ³05.mesh	LoÕi hình ßu u¤t	ÄÐÖ÷½ÇÁ³05	30008020	1	3	Cloth8_8	50000
17	1	ÄÐÖ÷½ÇÁ³06.mesh	Mê Ho£c Hình	ÄÐÖ÷½ÇÁ³06	30008020	1	2	Cloth8_8	50000
18	1	ÄÐÖ÷½ÇÁ³07.mesh	Khuôn m£t	ÄÐÖ÷½ÇÁ³07	30008020	1	2	Cloth8_8	50000
19	1	ÄÐÖ÷½ÇÁ³08.mesh	Thß½ng Tang Hình	ÄÐÖ÷½ÇÁ³08	30008020	1	2	Cloth8_8	50000
20	1	ÄÐÖ÷½ÇÁ³09.mesh	Mông Lung Hình	ÄÐÖ÷½ÇÁ³09	30008020	1	2	Cloth8_8	50000
21	1	ÄÐÖ÷½ÇÁ³10.mesh	Cu°ng Dã Hình	ÄÐÖ÷½ÇÁ³10	30008020	1	2	Cloth8_8	50000
22	1	ÄÐÖ÷½ÇÁ³11.mesh	Th¸ NgÕo Hình	ÄÐÖ÷½ÇÁ³11	30008020	1	2	Cloth8_8	50000
23	1	ÄÐÖ÷½ÇÁ³14.mesh	Thâm Thúy Hình	ÄÐÖ÷½ÇÁ³14	30008020	1	2	Cloth8_8	50000
24	1	ÄÐÖ÷½ÇÁ³12.mesh	Linh MÜ Hình	ÄÐÖ÷½ÇÁ³12	30008020	1	2	Cloth8_8	50000
25	1	ÄÐÖ÷½ÇÁ³18.mesh	Thanh Nhã Hình	ÄÐÖ÷½ÇÁ³18	30008020	1	2	Cloth8_8	50000
26	1	ÄÐÖ÷½ÇÁ³25.mesh	Phong Tr¥n Hình	ÄÐÖ÷½ÇÁ³25	30008020	1	2	Cloth8_8	50000
27	1	ÄÐÖ÷½ÇÁ³27.mesh	Khuynh Vân Hình	ÄÐÖ÷½ÇÁ³27	30008020	1	2	Cloth8_8	50000
28	1	ÄÐÖ÷½ÇÁ³26.mesh	Hình linh ðµng	ÄÐÖ÷½ÇÁ³26	30008020	1	2	Cloth8_8	50000
29	1	ÄÐÖ÷½ÇÁ³29.mesh	Ki¬u Lông Mày	ÄÐÖ÷½ÇÁ³29	30008020	1	2	Cloth8_8	50000
30	1	ÄÐÖ÷½ÇÁ³×ÔÐÅ120312_1.mesh	Phong D§t Hình	ÄÐÖ÷½ÇÁ³×ÔÐÅ120312_1	30008020	1	2	Cloth8_8	50000
31	1	ÄÐÖ÷½ÇÁ³39.mesh	Mi Änh Hình	ÄÐÖ÷½ÇÁ³39	30008020	1	2	Cloth8_8	50000
32	0	Å®Ö÷½ÇÁ³16.mesh	Thâm Thúy Hình	Å®Ö÷½ÇÁ³16	30008020	1	2	Cloth8_8	50000
33	0	Å®Ö÷½ÇÁ³20.mesh	Thanh Nhã Hình	Å®Ö÷½ÇÁ³20	30008020	1	2	Cloth8_8	50000
34	0	Å®Ö÷½ÇÁ³29.mesh	Khuynh Vân Hình	Å®Ö÷½ÇÁ³29	30008020	1	2	Cloth8_8	50000
35	0	Å®Ö÷½ÇÁ³30.mesh	Linh Ðµng Hình	Å®Ö÷½ÇÁ³30	30008020	1	2	Cloth8_8	50000
36	0	Å®Ö÷½ÇÁ³35.mesh	Yêu M¸ Hình	Å®Ö÷½ÇÁ³35	30008020	1	2	Cloth8_8	50000
37	0	Å®Ö÷½ÇÁ³40.mesh	ºc Ngân Hình	Å®Ö÷½ÇÁ³40	30008020	1	2	Cloth8_8	50000
38	0	Å®Ö÷½ÇÁ³43.mesh	M¸ änh hình	Å®Ö÷½ÇÁ³43	30008020	1	2	Cloth8_8	50000
39	0	Å®Ö÷½ÇÁ³44.mesh	Mi änh hình	Å®Ö÷½ÇÁ³44	30008020	1	2	Cloth8_8	50000
40	0	Å®Ö÷½ÇÁ³80.mesh	BÕch mi hình	Å®Ö÷½ÇÁ³80	30008020	1	2	Cloth8_8	50000
41	0	Å®Ö÷½ÇÁ³81.mesh	 Linh mâu hình 	Å®Ö÷½ÇÁ³81	30008020	1	2	Cloth8_8	50000
42	0	Å®Ö÷½ÇÁ³82.mesh	 Nhã thú hình 	Å®Ö÷½ÇÁ³82	30008020	1	2	Cloth8_8	50000
43	0	Å®Ö÷½ÇÁ³¸ßÄ£01.mesh	Xinh ð©p	Å®Ö÷½ÇÁ³¸ßÄ£01	30008020	1	2	Cloth8_8	50000
44	0	Å®Ö÷½ÇÁ³¸ßÄ£02.mesh	Trí tu®	Å®Ö÷½ÇÁ³¸ßÄ£02	30008020	1	2	Cloth8_8	50000
45	0	Å®Ö÷½ÇÁ³¸ßÄ£03.mesh	Vui vë	Å®Ö÷½ÇÁ³¸ßÄ£03	30008020	1	2	Cloth8_8	50000
46	0	Å®Ö÷½ÇÁ³¸ßÄ£04.mesh	Cao quý	Å®Ö÷½ÇÁ³¸ßÄ£04	30008020	1	2	Cloth8_8	50000
47	0	Å®Ö÷½ÇÁ³¸ßÄ£05.mesh	Thøc næ	Å®Ö÷½ÇÁ³¸ßÄ£05	30008020	1	2	Cloth8_8	50000
48	1	ÄÐÖ÷½Ç¸ßÄ£Á³05.mesh	Kiên cß¶ng	ÄÐÖ÷½Ç¸ßÄ£Á³05	30008020	1	2	Cloth8_8	50000
49	1	ÄÐÖ÷½Ç¸ßÄ£Á³04.mesh	Dûng cäm	ÄÐÖ÷½Ç¸ßÄ£Á³04	30008020	1	2	Cloth8_8	50000
50	1	ÄÐÖ÷½Ç¸ßÄ£Á³03.mesh	Quyªt ðoán	ÄÐÖ÷½Ç¸ßÄ£Á³03	30008020	1	2	Cloth8_8	50000
51	1	ÄÐÖ÷½Ç¸ßÄ£Á³02.mesh	Tñ tin	ÄÐÖ÷½Ç¸ßÄ£Á³02	30008020	1	2	Cloth8_8	50000
52	1	ÄÐÖ÷½Ç¸ßÄ£Á³06.mesh	Nghiêm ngh¸	ÄÐÖ÷½Ç¸ßÄ£Á³06	30008020	1	2	Cloth8_8	50000
53	1	ÄÐÖ÷½ÇÁ³31.mesh	Yêu M¸ Hình	ÄÐÖ÷½ÇÁ³31	30008020	1	2	Cloth8_8	50000
54	1	ÄÐÖ÷½ÇÁ³34.mesh	ºc Ngân Hình	ÄÐÖ÷½ÇÁ³34	30008020	1	2	Cloth8_8	50000
55	1	ÄÐÖ÷½ÇÁ³37.mesh	M¸ änh hình	ÄÐÖ÷½ÇÁ³37	30008020	1	2	Cloth8_8	50000
56	1	ÄÐÖ÷½ÇÁ³39.mesh	Mi änh hình	ÄÐÖ÷½ÇÁ³39	30008020	1	2	Cloth8_8	50000
57	1	ÄÐÖ÷½ÇÁ³80.mesh	BÕch mi hình	ÄÐÖ÷½ÇÁ³80	30008020	1	2	Cloth8_8	50000
58	1	ÄÐÖ÷½ÇÁ³81.mesh	 Linh mâu hình 	ÄÐÖ÷½ÇÁ³81	30008020	1	2	Cloth8_8	50000
59	1	ÄÐÖ÷½ÇÁ³82.mesh	 Nhã thú hình 	ÄÐÖ÷½ÇÁ³82	30008020	1	2	Cloth8_8	50000
60	1	ÄÐÖ÷½ÇÁ³29.mesh	Vân Mi Hình	ÄÐÖ÷½ÇÁ³29	30008020	1	2	Cloth8_8	50000


