INT	INT	INT	STRING	INT	INT	INT		
10124090	2160	2005	-1		1	0		
10124091	-1	2005	-1		1	0		
10124092	720	2005	-1		1	0		
10124093	2160	2005	-1		1	0		
10124094	-1	2005	-1		1	0		
10124095	720	2005	-1		1	0		
10124096	2160	2005	-1		1	0		
10124097	-1	2005	-1		1	0		
10124098	720	2005	-1		1	0		
10124099	2160	2005	-1		1	0		
10124100	-1	2005	-1		1	0		
10124101	720	2005	-1		1	0		
10124102	2160	2005	-1		1	0		
10124103	-1	2005	-1		1	0		
10124104	720	2005	-1		1	0		
10124105	2160	2005	-1		1	0		
10124106	-1	2005	-1		1	0		
10124107	720	2005	-1		1	0		
10124108	2160	2005	-1		1	0		
10124109	-1	2005	-1		1	0		
10124110	2160	2005	-1		1	0		
10124111	168	2005	-1		1	0		
10124112	720	2005	-1		1	0		
10124113	-1	2005	-1		1	0		
10124114	-1	2005	-1		1	0		
10124115	-1	2005	-1		1	0		
10124116	-1	2005	-1		1	0		
10124117	-1	2005	-1		1	0		
10124118	-1	2005	-1		1	0		
10124119	-1	2005	-1		1	0		
10124120	-1	2005	-1		1	0		
10124121	-1	2005	-1		1	0		
10124122	24	2005	-1		1	0		
10124123	24	2005	-1		1	0		
10124124	720	2005	-1		1	0		
10124125	2160	2005	-1		1	0		
10124126	-1	2005	-1		1	0		
10124127	720	2005	-1		1	0		
10124128	2160	2005	-1		1	0		
10124129	-1	2005	-1		1	0		
10124130	720	2005	-1		1	0		
10124131	720	2005	-1		1	0		
10124132	2160	2005	-1		1	0		
10124133	-1	2005	-1		1	0		
10124134	720	2005	-1		1	0		
10124135	720	2005	-1		1	0		
10124136	2160	2005	-1		1	0		
10124137	-1	2005	-1		1	0		
10124138	720	2005	-1		1	0		
10124139	2160	2005	-1		1	0		
10124140	-1	2005	-1		1	0		
10124141	168	2005	-1		1	0		
10124142	720	2005	-1		1	0		
10124143	720	2005	-1		1	0		
10124144	720	2005	-1		1	0		
10124145	720	2005	-1		1	0		
10124146	720	2005	-1		1	0		
10124147	720	2005	-1		1	0		
10124148	720	2005	-1		1	0		
10124149	720	2005	-1		1	0		
10124150	720	2005	-1		1	0		
10124151	720	2005	-1		1	0		
10124152	72	2005	-1		1	0		
10124153	168	2005	-1		1	0		
10124154	720	2005	-1		1	0		
10124155	2160	2005	-1		1	0		
10124156	-1	2005	-1		1	0		
10124518	720	2005	-1		1	0		
10124519	1440	2005	-1		1	0		
10124520	720	2005	-1		1	0		
10124521	1440	2005	-1		1	0		
10124522	720	2005	-1		1	0		
10124523	1440	2005	-1		1	0		
10124524	720	2005	-1		1	0		
10124525	1440	2005	-1		1	0		
10124526	720	2005	-1		1	0		
10124527	1440	2005	-1		1	0		
10124528	720	2005	-1		1	0		
10124529	1440	2005	-1		1	0		
10124530	720	2005	-1		1	0		
10124531	1440	2005	-1		1	0		
10124532	720	2005	-1		1	0		
10124533	1440	2005	-1		1	0		
10124534	720	2005	-1		1	0		
10124535	1440	2005	-1		1	0		
10124536	720	2005	-1		1	0		
10124537	1440	2005	-1		1	0		
10124538	720	2005	-1		1	0		
10124539	1440	2005	-1		1	0		
10124540	720	2005	-1		1	0		
10124541	1440	2005	-1		1	0		
10124542	720	2005	-1		1	0		
10124543	1440	2005	-1		1	0		
10124544	720	2005	-1		1	0		
10124545	1440	2005	-1		1	0		
10124546	720	2005	-1		1	0		
10124547	1440	2005	-1		1	0		
10124548	720	2005	-1		1	0		
10124549	1440	2005	-1		1	0		
10124550	720	2005	-1		1	0		
10124551	1440	2005	-1		1	0		
10124552	720	2005	-1		1	0		
10124553	1440	2005	-1		1	0		
10124554	720	2005	-1		1	0		
10124555	1440	2005	-1		1	0		
10124606	168	2005	-1		1	0		
10124607	720	2005	-1		1	0		
10124608	2160	2005	-1		1	0		
10124610	168	2005	-1		1	0		
10124611	720	2005	-1		1	0		
10124612	2160	2005	-1		1	0		
10124614	168	2005	-1		1	0		
10124615	720	2005	-1		1	0		
10124616	2160	2005	-1		1	0		
10124617	4320	2005	-1		1	0		
10124619	168	2005	-1		1	0		
10124620	720	2005	-1		1	0		
10124621	2160	2005	-1		1	0		
10124623	168	2005	-1		1	0		
10124624	720	2005	-1		1	0		
10124625	168	2005	-1		1	0		
10124626	720	2005	-1		1	0		
10124627	2160	2005	-1		1	0		
10124630	168	2005	-1		1	0		
10124631	720	2005	-1		1	0		
10124632	2160	2005	-1		1	0		
10124633	168	2005	-1		1	0		
10124634	720	2005	-1		1	0		
10124635	2160	2005	-1		1	0		
								
10124637	720	2005	-1		1	0		
10124638	720	2005	-1		1	0		
10124639	720	2005	-1		1	0		
10124640	720	2005	-1		1	0		
10124641	720	2005	-1		1	0		
10124642	720	2005	-1		1	0		
10124643	720	2005	-1		1	0		
10124644	720	2005	-1		1	0		
								
10124645	720	2005	-1		1	0		
10124646	720	2005	-1		1	0		
10124647	720	2005	-1		1	0		
10124648	720	2005	-1		1	0		
10124649	720	2005	-1		1	0		
10124650	720	2005	-1		1	0		
10124651	720	2005	-1		1	0		
10124652	720	2005	-1		1	0		
								
10125190	720	2005	-1		1	0		
10125191	720	2005	-1		1	0		
10125192	720	2005	-1		1	0		
10125193	720	2005	-1		1	0		
10125194	720	2005	-1		1	0		
10125195	720	2005	-1		1	0		
10125196	720	2005	-1		1	0		
10125197	720	2005	-1		1	0		
10125198	720	2005	-1		1	0		
10125199	720	2005	-1		1	0		
10125200	720	2005	-1		1	0		
10125201	720	2005	-1		1	0		
10125202	720	2005	-1		1	0		
10125203	720	2005	-1		1	0		
10125204	720	2005	-1		1	0		
								
10141041	2160	2005	-1		1	0		
10141042	840	2005	-1		1	0		
10141043	2160	2005	-1		1	0		
10141044	2160	2005	-1		1	0		
10141045	2160	2005	-1		1	0		
10141046	2160	2005	-1		1	0		
10141047	2160	2005	-1		1	0		
10141048	2160	2005	-1		1	0		
10141049	2160	2005	-1		1	0		
10141052	-1	2005	-1		1	0		
10141053	-1	2005	-1		1	0		
10141054	-1	2005	-1		1	0		
10141055	-1	2005	-1		1	0		
10141056	-1	2005	-1		1	0		
10141057	-1	2005	-1		1	0		
10141058	-1	2005	-1		1	0		
10141059	-1	2005	-1		1	0		
10141060	2160	2005	-1		1	0		
10141061	2160	2005	-1		1	0		
10141062	2160	2005	-1		1	0		
10141063	2160	2005	-1		1	0		
10141064	2160	2005	-1		1	0		
10141065	2160	2005	-1		1	0		
10141066	-1	2005	-1		1	0		
10141067	-1	2005	-1		1	0		
10141068	-1	2005	-1		1	0		
10141069	-1	2005	-1		1	0		
10141070	-1	2005	-1		1	0		
10141071	-1	2005	-1		1	0		
10141072	4320	2005	-1		1	0		
10141073	4320	2005	-1		1	0		
10141074	4320	2005	-1		1	0		
10141075	4320	2005	-1		1	0		
10141076	4320	2005	-1		1	0		
10141077	4320	2005	-1		1	0		
10141078	4320	2005	-1		1	0		
10141079	4320	2005	-1		1	0		
10141080	4320	2005	-1		1	0		
10141081	2160	2005	-1		1	0		
10141082	4320	2005	-1		1	0		
10141083	-1	2005	-1		1	0		
10141084	2160	2005	-1		1	0		
10141085	4320	2005	-1		1	0		
10141086	-1	2005	-1		1	0		
10141087	2160	2005	-1		1	0		
10141088	4320	2005	-1		1	0		
10141089	-1	2005	-1		1	0		
10141090	720	2005	-1		1	0		
10141091	2160	2005	-1		1	0		
10141092	-1	2005	-1		1	0		
10141093	2160	2005	-1		1	0		
10141094	4320	2005	-1		1	0		
10141095	-1	2005	-1		1	0		
10141102	2160	2005	-1		1	0		
10141103	4320	2005	-1		1	0		
10141104	-1	2005	-1		1	0		
10141105	168	2005	-1		1	0		
10141106	168	2005	-1		1	0		
10141107	168	2005	-1		1	0		
10141108	168	2005	-1		1	0		
10141109	168	2005	-1		1	0		
10141110	168	2005	-1		1	0		
10141111	2160	2005	-1		1	0		
10141112	4320	2005	-1		1	0		
10141113	-1	2005	-1		1	0		
10141114	720	2005	-1		1	0		
10141115	720	2005	-1		1	0		
10141116	2160	2005	-1		1	0		
10141117	4320	2005	-1		1	0		
10141118	-1	2005	-1		1	0		
10141119	720	2005	-1		1	0		
10141120	720	2005	-1		1	0		
10141121	168	2005	-1		1	0		
10141122	2160	2005	-1		1	0		
10141123	4320	2005	-1		1	0		
10141124	-1	2005	-1		1	0		
10141125	2160	2005	-1		1	0		
10141126	4320	2005	-1		1	0		
10141127	-1	2005	-1		1	0		
10141128	2160	2005	-1		1	0		
10141129	4320	2005	-1		1	0		
10141130	-1	2005	-1		1	0		
10141131	720	2005	-1		1	0		
10141132	720	2005	-1		1	0		
10141133	720	2005	-1		1	0		
10141134	72	2005	-1		1	0		
10141135	72	2005	-1		1	0		
10141136	720	2005	-1		1	0		
10141137	2160	2005	-1		1	0		
10141138	4320	2005	-1		1	0		
10141139	-1	2005	-1		1	0		
10141140	720	2005	-1		1	0		
10141141	2160	2005	-1		1	0		
10141142	4320	2005	-1		1	0		
10141143	-1	2005	-1		1	0		
10141145	720	2005	-1		1	0		
10141507	720	2005	-1		1	0		
10141508	1440	2005	-1		1	0		
10141509	2160	2005	-1		1	0		
10141512	720	2005	-1		1	0		
10141513	720	2005	-1		1	0		
10141514	720	2005	-1		1	0		
10141515	720	2005	-1		1	0		
10141516	720	2005	-1		1	0		
10141517	168	2005	-1		1	0		
10141518	168	2005	-1		1	0		
10141519	168	2005	-1		1	0		
10141520	168	2005	-1		1	0		
10141522	168	2005	-1		1	0		
10141523	168	2005	-1		1	0		
10141524	168	2005	-1		1	0		
10141525	168	2005	-1		1	0		
10141526	168	2005	-1		1	0		
10141535	720	2005	-1		1	0		
10141536	1440	2005	-1		1	0		
10141537	2160	2005	-1		1	0		
10141556	168	2005	-1		1	0		
10141557	720	2005	-1		1	0		
10141558	2160	2005	-1		1	0		
10141559	4320	2005	-1		1	0		
10141565	72	2005	-1		1	0		
10141567	720	2005	-1		1	0		
10141568	2160	2005	-1		1	0		
10141569	4320	2005	-1		1	0		
10141570	4320	2005	-1		1	0		
10141588	72	2005	-1		1	0		
10141590	720	2005	-1		1	0		
10141591	2160	2005	-1		1	0		
10141592	4320	2005	-1		1	0		
10141594	1440	2005	-1		1	0		
10141595	1440	2005	-1		1	0		
10141596	1440	2005	-1		1	0		
10141597	1440	2005	-1		1	0		
10141598	1440	2005	-1		1	0		
10141599	168	2005	-1		1	0		
10141600	720	2005	-1		1	0		
10141601	1440	2005	-1		1	0		
10141602	2160	2005	-1		1	0		
10141603	168	2005	-1		1	0		
10141604	720	2005	-1		1	0		
10141605	1440	2005	-1		1	0		
10141606	2160	2005	-1		1	0		
10141607	168	2005	-1		1	0		
10141608	720	2005	-1		1	0		
10141609	1440	2005	-1		1	0		
10141610	2160	2005	-1		1	0		
10141611	168	2005	-1		1	0		
10141612	720	2005	-1		1	0		
10141613	1440	2005	-1		1	0		
10141614	2160	2005	-1		1	0		
10141615	168	2005	-1		1	0		
10141616	720	2005	-1		1	0		
10141617	1440	2005	-1		1	0		
10141618	2160	2005	-1		1	0		
10141619	168	2005	-1		1	0		
10141620	720	2005	-1		1	0		
10141621	1440	2005	-1		1	0		
10141622	2160	2005	-1		1	0		
10141623	168	2005	-1		1	0		
10141624	720	2005	-1		1	0		
10141625	1440	2005	-1		1	0		
10141626	2160	2005	-1		1	0		
10141627	168	2005	-1		1	0		
10141628	720	2005	-1		1	0		
10141629	1440	2005	-1		1	0		
10141630	2160	2005	-1		1	0		
10141631	168	2005	-1		1	0		
10141632	720	2005	-1		1	0		
10141633	1440	2005	-1		1	0		
10141634	2160	2005	-1		1	0		
10141635	168	2005	-1		1	0		
10141636	720	2005	-1		1	0		
10141637	1440	2005	-1		1	0		
10141638	2160	2005	-1		1	0		
10141639	168	2005	-1		1	0		
10141640	720	2005	-1		1	0		
10141641	1440	2005	-1		1	0		
10141642	2160	2005	-1		1	0		
10141643	168	2005	-1		1	0		
10141644	720	2005	-1		1	0		
10141645	1440	2005	-1		1	0		
10141646	2160	2005	-1		1	0		
10141647	168	2005	-1		1	0		
10141648	720	2005	-1		1	0		
10141649	1440	2005	-1		1	0		
10141650	2160	2005	-1		1	0		
10141651	168	2005	-1		1	0		
10141652	720	2005	-1		1	0		
10141653	1440	2005	-1		1	0		
10141654	2160	2005	-1		1	0		
10141655	168	2005	-1		1	0		
10141656	720	2005	-1		1	0		
10141657	1440	2005	-1		1	0		
10141658	2160	2005	-1		1	0		
10141659	168	2005	-1		1	0		
10141660	720	2005	-1		1	0		
10141661	1440	2005	-1		1	0		
10141662	2160	2005	-1		1	0		
10141663	168	2005	-1		1	0		
10141664	720	2005	-1		1	0		
10141665	1440	2005	-1		1	0		
10141666	2160	2005	-1		1	0		
10141667	168	2005	-1		1	0		
10141668	720	2005	-1		1	0		
10141669	1440	2005	-1		1	0		
10141670	2160	2005	-1		1	0		
10141671	168	2005	-1		1	0		
10141672	720	2005	-1		1	0		
10141673	1440	2005	-1		1	0		
10141674	2160	2005	-1		1	0		
10141675	168	2005	-1		1	0		
10141676	720	2005	-1		1	0		
10141677	1440	2005	-1		1	0		
10141678	2160	2005	-1		1	0		
10141679	168	2005	-1		1	0		
10141680	720	2005	-1		1	0		
10141681	1440	2005	-1		1	0		
10141682	2160	2005	-1		1	0		
10141683	168	2005	-1		1	0		
10141684	720	2005	-1		1	0		
10141685	1440	2005	-1		1	0		
10141686	2160	2005	-1		1	0		
10141687	168	2005	-1		1	0		
10141688	720	2005	-1		1	0		
10141689	1440	2005	-1		1	0		
10141690	2160	2005	-1		1	0		
10141691	168	2005	-1		1	0		
10141692	720	2005	-1		1	0		
10141693	1440	2005	-1		1	0		
10141694	2160	2005	-1		1	0		
10141695	168	2005	-1		1	0		
10141696	720	2005	-1		1	0		
10141697	1440	2005	-1		1	0		
10141698	2160	2005	-1		1	0		
10141699	168	2005	-1		1	0		
10141700	720	2005	-1		1	0		
10141701	1440	2005	-1		1	0		
10141702	2160	2005	-1		1	0		
10141703	168	2005	-1		1	0		
10141704	720	2005	-1		1	0		
10141705	1440	2005	-1		1	0		
10141706	2160	2005	-1		1	0		
10141708	168	2005	-1		1	0		
10141709	720	2005	-1		1	0		
10141710	1440	2005	-1		1	0		
10141711	2160	2005	-1		1	0		
10141713	168	2005	-1		1	0		
10141714	720	2005	-1		1	0		
10141715	1440	2005	-1		1	0		
10141716	2160	2005	-1		1	0		
								
10141718	168	2005	-1		1	0		
10141719	168	2005	-1		1	0		
10141720	168	2005	-1		1	0		
10141721	168	2005	-1		1	0		
10141722	168	2005	-1		1	0		
10141723	168	2005	-1		1	0		
10141724	168	2005	-1		1	0		
10141725	168	2005	-1		1	0		
10141726	168	2005	-1		1	0		
10141727	168	2005	-1		1	0		
10141728	168	2005	-1		1	0		
								
10141800	168	2005	-1		1	0		
10141801	720	2005	-1		1	0		
10141802	-1	2005	-1		1	0		
10141803	72	2005	-1		1	0		
10141804	720	2005	-1		1	0		
10141805	168	2005	-1		1	0		
10141806	4320	2005	-1		1	0		
10141807	720	2005	-1		1	0		
10141808	1440	2005	-1		1	0		
10141809	2160	2005	-1		1	0		
10300000	-1	-1	#c00ff00Trang b¸: sau khi ðánh trúng ð¯i phß½ng s¨ có tÖ l® bµc phát Hung Hång		1	0		
10300001	-1	-1	#c00ff00Trang b¸: sau khi ðánh trúng ð¯i phß½ng s¨ có tÖ l® bµc phát Hung Hång		1	0		
10300002	-1	-1	#c00ff00Trang b¸: sau khi ðánh trúng ð¯i phß½ng s¨ có tÖ l® bµc phát Hung Hång		1	0		
10300003	-1	-1	#c00ff00Trang b¸: sau khi ðánh trúng ð¯i phß½ng s¨ có tÖ l® bµc phát Hung Hång		1	0		
10300004	-1	-1	#c00ff00Trang b¸: sau khi ðánh trúng ð¯i phß½ng s¨ có tÖ l® bµc phát Hung Hång		1	0		
10300005	-1	-1	#c00ff00Trang b¸: sau khi ðánh trúng ð¯i phß½ng s¨ có tÖ l® bµc phát Hung Hång		1	0		
10300006	-1	-1	#c00ff00Trang b¸: sau khi ðánh trúng ð¯i phß½ng s¨ có tÖ l® bµc phát Hung Hång		1	0		
10300007	-1	-1	#c00ff00Trang b¸: sau khi ðánh trúng ð¯i phß½ng s¨ có tÖ l® bµc phát Hung Hång		1	0		
10300100	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® hút máu cüa ð¯i phß½ng		1	0		
10300101	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng b¸ giäm t¯c		1	0		
10300102	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng r½i vào trÕng thái phá trán		1	0		
10300103	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® hút máu cüa ð¯i phß½ng		1	0		
10300104	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng b¸ giäm t¯c		1	0		
10300105	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng r½i vào trÕng thái phá trán		1	0		
10300106	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® hút máu cüa ð¯i phß½ng		1	0		
10300107	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng b¸ giäm t¯c		1	0		
10300108	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng r½i vào trÕng thái phá trán		1	0		
10300109	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® hút máu cüa ð¯i phß½ng		1	0		
10300110	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng b¸ giäm t¯c		1	0		
10300111	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng r½i vào trÕng thái phá trán		1	0		
10300400	-1	-1	#c00ff00Trang b¸: sau khi ðánh trúng ð¯i phß½ng s¨ có tÖ l® bµc phát Hung Hång		1	0		
10300401	-1	-1	#c00ff00Trang b¸: sau khi ðánh trúng ð¯i phß½ng s¨ có tÖ l® bµc phát Hung Hång		1	0		
10300402	-1	-1	#c00ff00Trang b¸: sau khi ðánh trúng ð¯i phß½ng s¨ có tÖ l® bµc phát Hung Hång		1	0		
10300403	-1	-1	#c00ff00Trang b¸: sau khi ðánh trúng ð¯i phß½ng s¨ có tÖ l® bµc phát Hung Hång		1	0		
10300404	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® hút máu cüa ð¯i phß½ng		1	0		
10300405	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng b¸ giäm t¯c		1	0		
10300406	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng r½i vào trÕng thái phá trán		1	0		
10300407	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® hút máu cüa ð¯i phß½ng		1	0		
10300408	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng b¸ giäm t¯c		1	0		
10300409	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng r½i vào trÕng thái phá trán		1	0		
10300410	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® hút máu cüa ð¯i phß½ng		1	0		
10300411	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng b¸ giäm t¯c		1	0		
10300412	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng r½i vào trÕng thái phá trán		1	0		
10300413	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® hút máu cüa ð¯i phß½ng		1	0		
10300414	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng b¸ giäm t¯c		1	0		
10300415	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng r½i vào trÕng thái phá trán		1	0		
10300416	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® hút máu cüa ð¯i phß½ng		1	0		
10300417	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng b¸ giäm t¯c		1	0		
10300418	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng r½i vào trÕng thái phá trán		1	0		
10300419	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® hút máu cüa ð¯i phß½ng		1	0		
10300420	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng b¸ giäm t¯c		1	0		
10300421	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng r½i vào trÕng thái phá trán		1	0		
10301000	-1	-1	#c00ff00Trang b¸: sau khi ðánh trúng ð¯i phß½ng s¨ có tÖ l® bµc phát Hung Hång		1	0		
10301001	-1	-1	#c00ff00Trang b¸: sau khi ðánh trúng ð¯i phß½ng s¨ có tÖ l® bµc phát Hung Hång		1	0		
10301100	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® hút máu cüa ð¯i phß½ng		1	0		
10301101	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng b¸ giäm t¯c		1	0		
10301102	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng r½i vào trÕng thái suy nhßþc		1	0		
10301103	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® hút máu cüa ð¯i phß½ng		1	0		
10301104	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng b¸ giäm t¯c		1	0		
10301105	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng r½i vào trÕng thái suy nhßþc		1	0		
10301106	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® hút máu cüa ð¯i phß½ng		1	0		
10301107	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng b¸ giäm t¯c		1	0		
10301108	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng r½i vào trÕng thái suy nhßþc		1	0		
10301109	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® hút máu cüa ð¯i phß½ng		1	0		
10301110	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng b¸ giäm t¯c		1	0		
10301111	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng r½i vào trÕng thái suy nhßþc		1	0		
10301198	-1	-1	#c00ff00Trang b¸: sau khi ðánh trúng ð¯i phß½ng s¨ có tÖ l® bµc phát Hung Hång		1	0		
10301199	-1	-1	#c00ff00Trang b¸: sau khi ðánh trúng ð¯i phß½ng s¨ có tÖ l® bµc phát Hung Hång		1	0		
10301200	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® hút máu cüa ð¯i phß½ng		1	0		
10301201	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng b¸ giäm t¯c		1	0		
10301202	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng r½i vào trÕng thái suy nhßþc		1	0		
10301203	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® hút máu cüa ð¯i phß½ng		1	0		
10301204	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng b¸ giäm t¯c		1	0		
10301205	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng r½i vào trÕng thái suy nhßþc		1	0		
10301206	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® hút máu cüa ð¯i phß½ng		1	0		
10301207	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng b¸ giäm t¯c		1	0		
10301208	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng r½i vào trÕng thái suy nhßþc		1	0		
10301209	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® hút máu cüa ð¯i phß½ng		1	0		
