INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT
9	禍福圖樣	10200019	1	4	9	20103009	65	20103069	50	20103099	60	20308009	1	-1	-1	100	-1	-1	-1	-1	-1	-1	0	1	1	3000	-1	-1	我填了	7	-1
10	百戰圖樣	10200020	1	4	10	20103010	70	20103070	55	20103099	64	20308010	1	-1	-1	110	-1	-1	-1	-1	-1	-1	0	1	1	3000	-1	-1	我填了	7	-1
11	三股奔雷叉圖樣	10201011	1	4	1	20103001	25	20103061	10	20103097	12	20308011	1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	2	3000	-1	-1	我填了	7	-1
12	精鋼獵虎叉圖樣	10201012	1	4	2	20103002	30	20103062	15	20103097	15	20308012	1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	2	3000	-1	-1	我填了	7	-1
13	青玉騰龍槍圖樣	10201013	1	4	3	20103003	35	20103063	20	20103097	21	20308013	1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	2	3000	-1	-1	我填了	7	-1
14	三股烈焰叉圖樣	10201014	1	4	4	20103004	40	20103064	25	20103098	24	20308014	1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	2	3000	-1	-1	我填了	7	-1
15	虎尾鏨金槍圖樣	10201015	1	4	5	20103005	45	20103065	30	20103098	27	20308015	1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	2	3000	-1	-1	我填了	7	-1
16	五毒透骨槍圖樣	10201016	1	4	6	20103006	50	20103066	35	20103098	33	20308016	1	-1	-1	70	-1	-1	-1	-1	-1	-1	0	1	2	3000	-1	-1	我填了	7	-1
17	暴雨滅魂槍圖樣	10201017	1	4	7	20103007	55	20103067	40	20103099	48	20308017	1	-1	-1	80	-1	-1	-1	-1	-1	-1	0	1	2	3000	-1	-1	我填了	7	-1
18	掣星穿天圖樣	10201018	1	4	8	20103008	60	20103068	45	20103099	52	20308018	1	-1	-1	90	-1	-1	-1	-1	-1	-1	0	1	2	3000	-1	-1	我填了	7	-1
19	斷腸圖樣	10201019	1	4	9	20103009	65	20103069	50	20103099	60	20308019	1	-1	-1	100	-1	-1	-1	-1	-1	-1	0	1	2	3000	-1	-1	我填了	7	-1
20	未央圖樣	10201020	1	4	10	20103010	70	20103070	55	20103099	64	20308020	1	-1	-1	110	-1	-1	-1	-1	-1	-1	0	1	2	3000	-1	-1	我填了	7	-1
21	青銅刃圖樣	10202011	1	4	1	20103001	25	20103061	10	20103097	12	20308021	1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	3	3000	-1	-1	我填了	7	-1
22	欺霜劍圖樣	10202012	1	4	2	20103002	30	20103062	15	20103097	15	20308022	1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	3	3000	-1	-1	我填了	7	-1
23	破軍劍圖樣	10202013	1	4	3	20103003	35	20103063	20	20103097	21	20308023	1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	3	3000	-1	-1	我填了	7	-1
24	吳鉤劍圖樣	10202014	1	4	4	20103004	40	20103064	25	20103098	24	20308024	1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	3	3000	-1	-1	我填了	7	-1
25	閉月羞光劍圖樣	10202015	1	4	5	20103005	45	20103065	30	20103098	27	20308025	1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	3	3000	-1	-1	我填了	7	-1
26	斷玉劍圖樣	10202016	1	4	6	20103006	50	20103066	35	20103098	33	20308026	1	-1	-1	70	-1	-1	-1	-1	-1	-1	0	1	3	3000	-1	-1	我填了	7	-1
27	天瀑劍圖樣	10202017	1	4	7	20103007	55	20103067	40	20103099	48	20308027	1	-1	-1	80	-1	-1	-1	-1	-1	-1	0	1	3	3000	-1	-1	我填了	7	-1
28	赤霄白帝圖樣	10202018	1	4	8	20103008	60	20103068	45	20103099	52	20308028	1	-1	-1	90	-1	-1	-1	-1	-1	-1	0	1	3	3000	-1	-1	我填了	7	-1
29	工布圖樣	10202019	1	4	9	20103009	65	20103069	50	20103099	60	20308029	1	-1	-1	100	-1	-1	-1	-1	-1	-1	0	1	3	3000	-1	-1	我填了	7	-1
30	龍淵圖樣	10202020	1	4	10	20103010	70	20103070	55	20103099	64	20308030	1	-1	-1	110	-1	-1	-1	-1	-1	-1	0	1	3	3000	-1	-1	我填了	7	-1
31	柳葉雙刀圖樣	10203011	1	4	1	20103001	25	20103061	10	20103097	12	20308031	1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	4	3000	-1	-1	我填了	7	-1
32	靈蛇雙劍圖樣	10203012	1	4	2	20103002	30	20103062	15	20103097	15	20308032	1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	4	3000	-1	-1	我填了	7	-1
33	星辰雙劍圖樣	10203013	1	4	3	20103003	35	20103063	20	20103097	21	20308033	1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	4	3000	-1	-1	我填了	7	-1
34	三星峨嵋刺圖樣	10203014	1	4	4	20103004	40	20103064	25	20103098	24	20308034	1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	4	3000	-1	-1	我填了	7	-1
35	春秋雙刀圖樣	10203015	1	4	5	20103005	45	20103065	30	20103098	27	20308035	1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	4	3000	-1	-1	我填了	7	-1
36	殊流雙斧圖樣	10203016	1	4	6	20103006	50	20103066	35	20103098	33	20308036	1	-1	-1	70	-1	-1	-1	-1	-1	-1	0	1	4	3000	-1	-1	我填了	7	-1
37	秋水雁翎雙刀圖樣	10203017	1	4	7	20103007	55	20103067	40	20103099	48	20308037	1	-1	-1	80	-1	-1	-1	-1	-1	-1	0	1	4	3000	-1	-1	我填了	7	-1
38	霜天曉角圖樣	10203018	1	4	8	20103008	60	20103068	45	20103099	52	20308038	1	-1	-1	90	-1	-1	-1	-1	-1	-1	0	1	4	3000	-1	-1	我填了	7	-1
39	雲追月圖樣	10203019	1	4	9	20103009	65	20103069	50	20103099	60	20308039	1	-1	-1	100	-1	-1	-1	-1	-1	-1	0	1	4	3000	-1	-1	我填了	7	-1
40	蒼龍圖樣	10203020	1	4	10	20103010	70	20103070	55	20103099	64	20308040	1	-1	-1	110	-1	-1	-1	-1	-1	-1	0	1	4	3000	-1	-1	我填了	7	-1
41	鵝毛扇圖樣	10204011	1	4	1	20103001	25	20103061	10	20103097	12	20308041	1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	5	3000	-1	-1	我填了	7	-1
42	十字綿竹扇圖樣	10204012	1	4	2	20103002	30	20103062	15	20103097	15	20308042	1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	5	3000	-1	-1	我填了	7	-1
43	白羽扇圖樣	10204013	1	4	3	20103003	35	20103063	20	20103097	21	20308043	1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	5	3000	-1	-1	我填了	7	-1
44	清心扇圖樣	10204014	1	4	4	20103004	40	20103064	25	20103098	24	20308044	1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	5	3000	-1	-1	我填了	7	-1
45	鐵骨扇圖樣	10204015	1	4	5	20103005	45	20103065	30	20103098	27	20308045	1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	5	3000	-1	-1	我填了	7	-1
46	水鏡扇圖樣	10204016	1	4	6	20103006	50	20103066	35	20103098	33	20308046	1	-1	-1	70	-1	-1	-1	-1	-1	-1	0	1	5	3000	-1	-1	我填了	7	-1
47	五火七禽扇圖樣	10204017	1	4	7	20103007	55	20103067	40	20103099	48	20308047	1	-1	-1	80	-1	-1	-1	-1	-1	-1	0	1	5	3000	-1	-1	我填了	7	-1
48	風擺棕櫚圖樣	10204018	1	4	8	20103008	60	20103068	45	20103099	52	20308048	1	-1	-1	90	-1	-1	-1	-1	-1	-1	0	1	5	3000	-1	-1	我填了	7	-1
49	定風波圖樣	10204019	1	4	9	20103009	65	20103069	50	20103099	60	20308049	1	-1	-1	100	-1	-1	-1	-1	-1	-1	0	1	5	3000	-1	-1	我填了	7	-1
50	鳳雛圖樣	10204020	1	4	10	20103010	70	20103070	55	20103099	64	20308050	1	-1	-1	110	-1	-1	-1	-1	-1	-1	0	1	5	3000	-1	-1	我填了	7	-1
51	白銀環圖樣	10205011	1	4	1	20103001	25	20103061	10	20103097	12	20308051	1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	6	3000	-1	-1	我填了	7	-1
52	明月環圖樣	10205012	1	4	2	20103002	30	20103062	15	20103097	15	20308052	1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	6	3000	-1	-1	我填了	7	-1
53	五行輪圖樣	10205013	1	4	3	20103003	35	20103063	20	20103097	21	20308053	1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	6	3000	-1	-1	我填了	7	-1
54	天地金剛圈圖樣	10205014	1	4	4	20103004	40	20103064	25	20103098	24	20308054	1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	6	3000	-1	-1	我填了	7	-1
55	攝星環圖樣	10205015	1	4	5	20103005	45	20103065	30	20103098	27	20308055	1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	6	3000	-1	-1	我填了	7	-1
56	天絡環圖樣	10205016	1	4	6	20103006	50	20103066	35	20103098	33	20308056	1	-1	-1	70	-1	-1	-1	-1	-1	-1	0	1	6	3000	-1	-1	我填了	7	-1
57	乾坤圈圖樣	10205017	1	4	7	20103007	55	20103067	40	20103099	48	20308057	1	-1	-1	80	-1	-1	-1	-1	-1	-1	0	1	6	3000	-1	-1	我填了	7	-1
58	命運圖樣	10205018	1	4	8	20103008	60	20103068	45	20103099	52	20308058	1	-1	-1	90	-1	-1	-1	-1	-1	-1	0	1	6	3000	-1	-1	我填了	7	-1
59	探花圖樣	10205019	1	4	9	20103009	65	20103069	50	20103099	60	20308059	1	-1	-1	100	-1	-1	-1	-1	-1	-1	0	1	6	3000	-1	-1	我填了	7	-1
60	斬關圖樣	10205020	1	4	10	20103010	70	20103070	55	20103099	64	20308060	1	-1	-1	110	-1	-1	-1	-1	-1	-1	0	1	6	3000	-1	-1	我填了	7	-1
61	粗布帽圖樣	10210002	1	5	1	20105001	28	20103073	12	20103100	24	20308061	1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	7	3000	-1	-1	我填了	7	-1
62	青布帽圖樣	10210004	1	5	1	20105002	32	20103074	16	20103100	27	20308062	1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	7	3000	-1	-1	我填了	7	-1
63	絳麻帽圖樣	10210006	1	5	2	20105003	36	20103075	20	20103100	33	20308063	1	-1	-1	25	-1	-1	-1	-1	-1	-1	0	1	7	3000	-1	-1	我填了	7	-1
64	軟綢帽圖樣	10210008	1	5	3	20105004	40	20103076	24	20103101	36	20308064	1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	7	3000	-1	-1	我填了	7	-1
65	銀錦冠圖樣	10210010	1	5	4	20105005	44	20103077	28	20103101	39	20308065	1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	7	3000	-1	-1	我填了	7	-1
66	元靈冠圖樣	10210012	1	5	5	20105006	48	20103078	32	20103101	45	20308066	1	-1	-1	45	-1	-1	-1	-1	-1	-1	0	1	7	3000	-1	-1	我填了	7	-1
67	七星冠圖樣	10210014	1	5	6	20105007	52	20103079	36	20103102	64	20308067	1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	7	3000	-1	-1	我填了	7	-1
68	引鳳帽圖樣	10210016	1	5	7	20105008	56	20103080	40	20103102	68	20308068	1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	7	3000	-1	-1	我填了	7	-1
69	沐水天冠圖樣	10210018	1	5	8	20105009	60	20103081	44	20103102	76	20308069	1	-1	-1	65	-1	-1	-1	-1	-1	-1	0	1	7	3000	-1	-1	我填了	7	-1
70	幻世聖巾圖樣	10210020	1	5	9	20105010	64	20103082	48	20103102	80	20308070	1	-1	-1	70	-1	-1	-1	-1	-1	-1	0	1	7	3000	-1	-1	我填了	7	-1
71	粗布鞋圖樣	10211002	1	5	1	20105001	28	20103073	12	20103100	24	20308091	1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	10	3000	-1	-1	我填了	7	-1
72	青布鞋圖樣	10211004	1	5	1	20105002	32	20103074	16	20103100	27	20308092	1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	10	3000	-1	-1	我填了	7	-1
73	絳麻鞋圖樣	10211006	1	5	2	20105003	36	20103075	20	20103100	33	20308093	1	-1	-1	25	-1	-1	-1	-1	-1	-1	0	1	10	3000	-1	-1	我填了	7	-1
74	軟綢鞋圖樣	10211008	1	5	3	20105004	40	20103076	24	20103101	36	20308094	1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	10	3000	-1	-1	我填了	7	-1
75	銀錦鞋圖樣	10211010	1	5	4	20105005	44	20103077	28	20103101	39	20308095	1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	10	3000	-1	-1	我填了	7	-1
76	元靈鞋圖樣	10211012	1	5	5	20105006	48	20103078	32	20103101	45	20308096	1	-1	-1	45	-1	-1	-1	-1	-1	-1	0	1	10	3000	-1	-1	我填了	7	-1
77	七星鞋圖樣	10211014	1	5	6	20105007	52	20103079	36	20103102	64	20308097	1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	10	3000	-1	-1	我填了	7	-1
78	引鳳鞋圖樣	10211016	1	5	7	20105008	56	20103080	40	20103102	68	20308098	1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	10	3000	-1	-1	我填了	7	-1
79	沐水天靴圖樣	10211018	1	5	8	20105009	60	20103081	44	20103102	76	20308099	1	-1	-1	65	-1	-1	-1	-1	-1	-1	0	1	10	3000	-1	-1	我填了	7	-1
80	幻世聖靴圖樣	10211020	1	5	9	20105010	64	20103082	48	20103102	80	20308100	1	-1	-1	70	-1	-1	-1	-1	-1	-1	0	1	10	3000	-1	-1	我填了	7	-1
81	粗布手套圖樣	10212002	1	5	1	20105001	28	20103073	12	20103100	24	20308081	1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	9	3000	-1	-1	我填了	7	-1
82	青布手套圖樣	10212004	1	5	1	20105002	32	20103074	16	20103100	27	20308082	1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	9	3000	-1	-1	我填了	7	-1
83	絳麻手套圖樣	10212006	1	5	2	20105003	36	20103075	20	20103100	33	20308083	1	-1	-1	25	-1	-1	-1	-1	-1	-1	0	1	9	3000	-1	-1	我填了	7	-1
84	軟綢手套圖樣	10212008	1	5	3	20105004	40	20103076	24	20103101	36	20308084	1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	9	3000	-1	-1	我填了	7	-1
85	銀錦手套圖樣	10212010	1	5	4	20105005	44	20103077	28	20103101	39	20308085	1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	9	3000	-1	-1	我填了	7	-1
86	元靈手套圖樣	10212012	1	5	5	20105006	48	20103078	32	20103101	45	20308086	1	-1	-1	45	-1	-1	-1	-1	-1	-1	0	1	9	3000	-1	-1	我填了	7	-1
87	七星手套圖樣	10212014	1	5	6	20105007	52	20103079	36	20103102	64	20308087	1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	9	3000	-1	-1	我填了	7	-1
88	引鳳手套圖樣	10212016	1	5	7	20105008	56	20103080	40	20103102	68	20308088	1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	9	3000	-1	-1	我填了	7	-1
89	沐水手套圖樣	10212018	1	5	8	20105009	60	20103081	44	20103102	76	20308089	1	-1	-1	65	-1	-1	-1	-1	-1	-1	0	1	9	3000	-1	-1	我填了	7	-1
90	幻世手套圖樣	10212020	1	5	9	20105010	64	20103082	48	20103102	80	20308090	1	-1	-1	70	-1	-1	-1	-1	-1	-1	0	1	9	3000	-1	-1	我填了	7	-1
91	粗布衣圖樣	10213002	1	5	1	20105001	28	20103073	12	20103100	24	20308071	1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	8	3000	-1	-1	我填了	7	-1
92	青布衣圖樣	10213004	1	5	1	20105002	32	20103074	16	20103100	27	20308072	1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	8	3000	-1	-1	我填了	7	-1
93	絳麻衣圖樣	10213006	1	5	2	20105003	36	20103075	20	20103100	33	20308073	1	-1	-1	25	-1	-1	-1	-1	-1	-1	0	1	8	3000	-1	-1	我填了	7	-1
94	軟綢衣圖樣	10213008	1	5	3	20105004	40	20103076	24	20103101	36	20308074	1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	8	3000	-1	-1	我填了	7	-1
95	銀錦衣圖樣	10213010	1	5	4	20105005	44	20103077	28	20103101	39	20308075	1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	8	3000	-1	-1	我填了	7	-1
96	元靈衣圖樣	10213012	1	5	5	20105006	48	20103078	32	20103101	45	20308076	1	-1	-1	45	-1	-1	-1	-1	-1	-1	0	1	8	3000	-1	-1	我填了	7	-1
97	七星錦服圖樣	10213014	1	5	6	20105007	52	20103079	36	20103102	64	20308077	1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	8	3000	-1	-1	我填了	7	-1
98	引鳳錦衣圖樣	10213016	1	5	7	20105008	56	20103080	40	20103102	68	20308078	1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	8	3000	-1	-1	我填了	7	-1
99	沐水天衣圖樣	10213018	1	5	8	20105009	60	20103081	44	20103102	76	20308079	1	-1	-1	65	-1	-1	-1	-1	-1	-1	0	1	8	3000	-1	-1	我填了	7	-1
100	幻世魔衣圖樣	10213020	1	5	9	20105010	64	20103082	48	20103102	80	20308080	1	-1	-1	70	-1	-1	-1	-1	-1	-1	0	1	8	3000	-1	-1	我填了	7	-1
101	粗布腕圖樣	10214002	1	5	1	20105001	28	20103073	12	20103100	24	20308131	1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	23	3000	-1	-1	我填了	7	-1
102	青布腕圖樣	10214004	1	5	1	20105002	32	20103074	16	20103100	27	20308132	1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	23	3000	-1	-1	我填了	7	-1
103	絳麻腕圖樣	10214006	1	5	2	20105003	36	20103075	20	20103100	33	20308133	1	-1	-1	25	-1	-1	-1	-1	-1	-1	0	1	23	3000	-1	-1	我填了	7	-1
104	軟綢腕圖樣	10214008	1	5	3	20105004	40	20103076	24	20103101	36	20308134	1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	23	3000	-1	-1	我填了	7	-1
105	銀錦腕圖樣	10214010	1	5	4	20105005	44	20103077	28	20103101	39	20308135	1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	23	3000	-1	-1	我填了	7	-1
106	元靈腕圖樣	10214012	1	5	5	20105006	48	20103078	32	20103101	45	20308136	1	-1	-1	45	-1	-1	-1	-1	-1	-1	0	1	23	3000	-1	-1	我填了	7	-1
107	七星腕圖樣	10214014	1	5	6	20105007	52	20103079	36	20103102	64	20308137	1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	23	3000	-1	-1	我填了	7	-1
108	引鳳腕圖樣	10214016	1	5	7	20105008	56	20103080	40	20103102	68	20308138	1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	23	3000	-1	-1	我填了	7	-1
109	沐水天腕圖樣	10214018	1	5	8	20105009	60	20103081	44	20103102	76	20308139	1	-1	-1	65	-1	-1	-1	-1	-1	-1	0	1	23	3000	-1	-1	我填了	7	-1
110	幻世魔腕圖樣	10214020	1	5	9	20105010	64	20103082	48	20103102	80	20308140	1	-1	-1	70	-1	-1	-1	-1	-1	-1	0	1	23	3000	-1	-1	我填了	7	-1
111	粗布肩圖樣	10215002	1	5	1	20105001	28	20103073	12	20103100	24	20308141	1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	24	3000	-1	-1	我填了	7	-1
112	青布肩圖樣	10215004	1	5	1	20105002	32	20103074	16	20103100	27	20308142	1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	24	3000	-1	-1	我填了	7	-1
113	絳麻肩圖樣	10215006	1	5	2	20105003	36	20103075	20	20103100	33	20308143	1	-1	-1	25	-1	-1	-1	-1	-1	-1	0	1	24	3000	-1	-1	我填了	7	-1
114	軟綢肩圖樣	10215008	1	5	3	20105004	40	20103076	24	20103101	36	20308144	1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	24	3000	-1	-1	我填了	7	-1
115	銀錦肩圖樣	10215010	1	5	4	20105005	44	20103077	28	20103101	39	20308145	1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	24	3000	-1	-1	我填了	7	-1
116	元靈肩圖樣	10215012	1	5	5	20105006	48	20103078	32	20103101	45	20308146	1	-1	-1	45	-1	-1	-1	-1	-1	-1	0	1	24	3000	-1	-1	我填了	7	-1
117	七星肩圖樣	10215014	1	5	6	20105007	52	20103079	36	20103102	64	20308147	1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	24	3000	-1	-1	我填了	7	-1
118	引鳳肩圖樣	10215016	1	5	7	20105008	56	20103080	40	20103102	68	20308148	1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	24	3000	-1	-1	我填了	7	-1
119	沐水天肩圖樣	10215018	1	5	8	20105009	60	20103081	44	20103102	76	20308149	1	-1	-1	65	-1	-1	-1	-1	-1	-1	0	1	24	3000	-1	-1	我填了	7	-1
120	幻世魔肩圖樣	10215020	1	5	9	20105010	64	20103082	48	20103102	80	20308150	1	-1	-1	70	-1	-1	-1	-1	-1	-1	0	1	24	3000	-1	-1	我填了	7	-1
121	平安腰帶圖樣	10221011	1	5	1	20105001	28	20103073	12	20103100	24	20308151	1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	25	3000	-1	-1	我填了	7	-1
122	吉祥腰帶圖樣	10221012	1	5	1	20105002	32	20103074	16	20103100	27	20308152	1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	25	3000	-1	-1	我填了	7	-1
123	暗麟腰帶圖樣	10221013	1	5	2	20105003	36	20103075	20	20103100	33	20308153	1	-1	-1	25	-1	-1	-1	-1	-1	-1	0	1	25	3000	-1	-1	我填了	7	-1
124	七星箍環圖樣	10221014	1	5	3	20105004	40	20103076	24	20103101	36	20308154	1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	25	3000	-1	-1	我填了	7	-1
125	地靈環帶圖樣	10221015	1	5	4	20105005	44	20103077	28	20103101	39	20308155	1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	25	3000	-1	-1	我填了	7	-1
126	徹地環帶圖樣	10221016	1	5	5	20105006	48	20103078	32	20103101	45	20308156	1	-1	-1	45	-1	-1	-1	-1	-1	-1	0	1	25	3000	-1	-1	我填了	7	-1
127	霧霓帶圖樣	10221017	1	5	6	20105007	52	20103079	36	20103102	64	20308157	1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	25	3000	-1	-1	我填了	7	-1
128	六藝腰環圖樣	10221018	1	5	7	20105008	56	20103080	40	20103102	68	20308158	1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	25	3000	-1	-1	我填了	7	-1
129	催雪圖樣	10221019	1	5	8	20105009	60	20103081	44	20103102	76	20308159	1	-1	-1	65	-1	-1	-1	-1	-1	-1	0	1	25	3000	-1	-1	我填了	7	-1
130	步月圖樣	10221020	1	5	9	20105010	64	20103082	48	20103102	80	20308160	1	-1	-1	70	-1	-1	-1	-1	-1	-1	0	1	25	3000	-1	-1	我填了	7	-1
131	繁星結圖樣	10220011	1	6	1	20103001	7	20103085	12	20308101	1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	11	3000	-1	-1	我填了	7	-1
132	黃玉項鏈圖樣	10220012	1	6	1	20103002	14	20103086	24	20308102	1	-1	-1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	11	3000	-1	-1	我填了	7	-1
133	兩儀鏈圖樣	10220013	1	6	2	20103003	21	20103087	42	20308103	1	-1	-1	-1	-1	25	-1	-1	-1	-1	-1	-1	0	1	11	3000	-1	-1	我填了	7	-1
134	風川鏈圖樣	10220014	1	6	3	20103004	28	20103088	54	20308104	1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	11	3000	-1	-1	我填了	7	-1
135	琉璃結圖樣	10220015	1	6	4	20103005	35	20103089	66	20308105	1	-1	-1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	11	3000	-1	-1	我填了	7	-1
136	宣清束圖樣	10220016	1	6	5	20103006	42	20103090	84	20308106	1	-1	-1	-1	-1	45	-1	-1	-1	-1	-1	-1	0	1	11	3000	-1	-1	我填了	7	-1
137	陰陽鏈圖樣	10220017	1	6	6	20103007	49	20103091	96	20308107	1	-1	-1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	11	3000	-1	-1	我填了	7	-1
138	勾魂鈴圖樣	10220018	1	6	7	20103008	56	20103092	108	20308108	1	-1	-1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	11	3000	-1	-1	我填了	7	-1
