INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
10400046	1	4	0	46	0	453	2	-1	-1	金纂穿雲	100	"全长三尺五寸,通体刻有古朴花纹，如龙鳞，吹毛断发，普净僧尼备此斧，四海云游除反徒。"	16000	64000	237	3	3	-1	-1	Broadsword3_12	刀斧类	1009	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	208	-1	208	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400050	1	4	0	50	0	72	2	-1	-1	任務裝1	10	任務裝和紫裝1	180	720	125	3	3	-1	-1	Broadsword4_10	刀斧类	1010	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	28	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400051	1	4	0	51	0	420	2	-1	-1	上玄	20	上玄再現風雲起，萬般塵緣皆化土。	540	2160	137	3	3	-1	-1	Broadsword1_9	刀斧类	1011	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	48	-1	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	2003	0
10400052	1	4	0	52	0	77	2	-1	-1	任務裝3	30	任務裝和紫裝3	1150	4600	150	3	3	-1	-1	Broadsword4_10	刀斧类	1012	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	43	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	68	-1	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400053	1	4	0	53	0	426	2	-1	-1	梵日	40	夜話吳王千鈞煉，梟雄燈下看梵日。	1780	7120	162	3	3	-1	-1	Broadsword2_1	刀斧类	1013	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	2	-1	-1	-1	-1	-1	-1	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	88	-1	88	-1	-1	-1	-1	-1	-1	-1	-1	-1	2003	0
10400054	1	4	0	54	0	119	2	-1	-1	任務裝5	50	任務裝和紫裝5	2700	10800	175	3	3	-1	-1	Broadsword4_10	刀斧类	1014	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	37	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	-1	2	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	108	-1	108	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400055	1	4	0	55	0	85	2	-1	-1	任務裝6	60	任務裝和紫裝6	3850	15400	187	3	3	-1	-1	Broadsword4_10	刀斧类	1015	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	44	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	-1	2	-1	-1	-1	-1	-1	-1	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	128	-1	128	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400056	1	4	0	56	0	61	2	-1	-1	任務裝7	70	任務裝和紫裝7	5570	22280	200	3	3	-1	-1	Broadsword4_10	刀斧类	1016	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	32	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	-1	3	-1	-1	-1	-1	-1	-1	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	148	-1	148	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400057	1	4	0	57	0	104	2	-1	-1	任務裝8	80	任務裝和紫裝8	7450	29800	212	3	3	-1	-1	Broadsword4_10	刀斧类	1017	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	37	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	14	-1	3	-1	-1	-1	-1	-1	-1	16	-1	-1	-1	-1	-1	-1	-1	-1	-1	168	-1	168	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400058	1	4	0	58	0	120	2	-1	-1	任務裝9	90	任務裝和紫裝9	9950	39800	225	3	3	-1	-1	Broadsword4_10	刀斧类	1018	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	41	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	-1	4	-1	-1	-1	-1	-1	-1	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	188	-1	188	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400059	1	4	0	59	0	115	2	-1	-1	任務裝10	100	任務裝和紫裝10	16000	64000	237	3	3	-1	-1	Broadsword4_10	刀斧类	1019	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	-1	4	-1	-1	-1	-1	-1	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	208	-1	208	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400060	1	4	0	60	0	411	3	-1	-1	轅門衛士大刀	1	轅門衛士使用的普通大刀，做工粗糙	1000	1000	125	3	3	-1	-1	Broadsword1_2	刀斧类	1019	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	42	-1	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400061	1	4	0	61	0	415	3	-1	-1	金背砍山刀	13	砍山刀，有金色花紋裝飾刀背，故此得名。	1000	1000	137	3	3	-1	-1	Broadsword1_8	刀斧类	1019	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	-1	9	-1	-1	-1	-1	-1	-1	-1	72	-1	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	2003	0
10400062	1	4	0	62	0	423	3	-1	-1	嵩陽雁翎刀	18	嵩陽出產的雁翎刀，刀刃鋒利，殺氣漸現。	1000	1000	137	3	3	-1	-1	Broadsword1_13	刀斧类	1019	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	72	-1	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400063	1	4	0	63	0	418	3	-1	-1	劊子手	30	特製的大刀，不知道什麼材質。	1000	1000	162	3	3	-1	-1	Broadsword1_12	刀斧类	1019	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	132	-1	44	-1	-1	-1	-1	-1	-1	-1	-1	-1	2003	0
10400064	1	4	0	64	0	428	3	-1	-1	狼人奪糧刀	40	狼人專用奪糧的兵器，柄長刀大，可橫掃千軍。	1000	1000	175	3	3	-1	-1	Broadsword1_15	刀斧类	1019	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	162	-1	54	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400065	1	4	0	65	0	421	3	-1	-1	圓月彎刀	55	圓月村的鑄造師所鑄的彎刀，殺人於無形。	1000	1000	187	3	3	-1	-1	Broadsword2_2	刀斧类	1019	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	22	-1	3	-1	-1	-1	-1	-1	-1	-1	192	-1	64	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400066	1	4	0	66	0	436	3	-1	-1	叢林劈山斧	67	叢林劈山斧	1000	1000	200	3	3	-1	-1	Broadsword2_8	刀斧类	1019	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	41	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	222	-1	74	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400067	1	4	0	67	0	435	3	-1	-1	快意刀	72	快意刀	1000	1000	212	3	3	-1	-1	Broadsword2_16	刀斧类	1019	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	23	-1	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	252	-1	84	-1	-1	-1	-1	-1	-1	-1	-1	-1	2003	0
10400068	1	4	0	68	0	441	3	-1	-1	精製玄鐵大刀	78	精製玄鐵大刀	1000	1000	212	3	3	-1	-1	Broadsword3_4	刀斧类	1019	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25	-1	-1	-1	-1	-1	-1	-1	252	-1	84	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400069	1	4	0	69	0	454	3	-1	-1	復仇之刃	82	復仇者之刃	1000	1000	225	3	3	-1	-1	Broadsword3_11	刀斧类	1019	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	282	-1	94	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400070	1	4	0	70	0	448	3	-1	-1	九鳳朝陽刀	87	九鳳朝陽刀	1000	1000	225	3	3	-1	-1	Broadsword3_8	刀斧类	1019	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	199	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25	-1	-1	-1	-1	-1	-1	-1	282	-1	94	-1	-1	-1	-1	-1	-1	-1	-1	-1	2003	0
10400071	1	4	0	71	0	438	3	-1	-1	八卦金纂開山鉞	94	八卦金纂開山鉞	1000	1000	237	3	3	-1	-1	Broadsword2_14	刀斧类	1019	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	452	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	312	-1	104	-1	-1	-1	-1	-1	-1	-1	-1	-1	2003	0
10400072	1	4	0	72	0	451	3	-1	-1	沉水龍雀刀	98	沉水龍雀刀	1000	1000	237	3	3	-1	-1	Broadsword3_13	刀斧类	1019	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	16	-1	-1	-1	-1	-1	-1	-1	312	-1	104	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400073	1	4	0	73	0	453	3	-1	-1	戰神	98	戰神	1000	1000	237	3	3	-1	-1	Broadsword3_12	刀斧类	1019	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	-1	-1	-1	62	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	312	-1	104	-1	-1	-1	-1	-1	-1	-1	-1	-1	2003	0
10401001	1	4	1	1	0	367	1	-1	-1	雀舌大槍	10	通體長七尺二寸，粗約三寸餘，精鋼製成。	180	720	125	3	3	-1	-1	Spear1_3	枪棒类	1020	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	28	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10401006	1	4	1	6	0	372	1	-1	-1	竹節大槍	20	槍身銀白，槍尖極細，輕巧靈活，無形中取人性命，速度如閃電。	540	2160	137	3	3	-1	-1	Spear1_8	枪棒类	1021	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	34	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	48	-1	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10401011	1	4	1	11	0	375	1	-1	-1	素纓大槍	30	一根完整銅鐵所制，渾然天成，霸氣展露無遺。	1150	4600	150	3	3	-1	-1	Spear1_11	枪棒类	1022	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	68	-1	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10401016	1	4	1	16	0	380	1	-1	-1	六合大槍	40	槍長三尺九寸，槍頭為精鋼所鑄，中空，帶血槽，刺入敵人身體後可放血，殘暴。	1780	7120	162	3	3	-1	-1	Spear1_16	枪棒类	1023	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	34	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	88	-1	88	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10401021	1	4	1	21	0	383	1	-1	-1	盤龍大槍	50	通體金色，柔軟發帶，頂端尖銳似劍，主體渾圓似棍，看去似槍非槍，似劍非劍。	2700	10800	175	3	3	-1	-1	Spear2_3	枪棒类	1024	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	42	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	108	-1	108	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10401026	1	4	1	26	0	389	2	-1	-1	三股金剛馬叉	60	列山金打鑄，沉重過人，非神力之人不能配用，以力破巧，使敵人退無可退，避無可避。	3850	15400	187	3	3	-1	-1	Spear2_9	枪棒类	1025	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	128	-1	128	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10401031	1	4	1	31	0	394	2	-1	-1	五股烈焰馬叉	70	叉身鑲有青龍珠，據說鑄叉青鐵正中有赤紅血痕，是噬主之相。	5570	22280	200	3	3	-1	-1	Spear2_14	枪棒类	1026	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	37	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	148	-1	148	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10401036	1	4	1	36	0	399	2	-1	-1	七星噬魂馬叉	80	傳為苗疆進貢之物，叉身近手處飾有北斗七星文，玄妙無比。	7450	29800	212	3	3	-1	-1	Spear3_3	枪棒类	1027	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	41	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	14	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	168	-1	168	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
