INT	INT	STRING	INT	INT	INT	STRING	INT	INT	STRING
ID	RaceID	ShowName$1$	ÏûºÄÎïÆ·ID	ÏûºÄÎïÆ·ÊýÁ¿	ÊÇ·ñÔÚ³õÊ¼Ê±¿ÉÑ¡(0±íÊ¾ÓÎÏ·ÖÐ£¬³õÊ¼Ê±¶¼²»¿ÉÑ¡£¬1±íÊ¾Ö»ÓÐ³õÊ¼Ê±¿ÉÑ¡£¬2±íÊ¾Ö»ÓÐÔÚÓÎÏ·ÖÐ¿ÉÑ¡£¬3±íÊ¾ÓÎÏ·ÖÐ£¬³õÊ¼Ê±¶¼¿ÉÑ¡)	Í·ÏñµÄÍ¼±ê	ÏûºÄ½ðÇ®	GroupID	TitleInfo$1$
80	1	Ki«u Phong 2	30008039	1	2	ManProtagonist2_2	50000	80	Ki«u Phong 2	79
81	1	Ki«u Phong 3	30008039	1	2	ManProtagonist2_3	50000	81	Ki«u Phong 3	82
82	1	Hß Trúc	30008039	1	2	ManProtagonist2_4	50000	82	Hß Trúc	81
83	1	Hß Trúc 2	30008039	1	2	ManProtagonist2_5	50000	83	Hß Trúc 2	84
84	1	Hß Trúc 3	30008039	1	2	ManProtagonist2_6	50000	84	Hß Trúc 3	83
85	1	Ðoàn Dñ	30008039	1	2	ManProtagonist2_7	50000	85	Ðoàn Dñ	86
86	1	Ðoàn Dñ 2	30008039	1	2	ManProtagonist2_8	50000	86	Ðoàn Dñ 2	85
87	1	Ðoàn Dñ 3	30008039	1	2	ManProtagonist2_9	50000	87	Ðoàn Dñ 3	88
88	0	A Châu	30008039	1	2	ManProtagonist2_10	50000	88	A Châu	87
89	0	A Châu 2	30008039	1	2	ManProtagonist2_11	50000	89	A Châu 2	90
90	0	A Châu 3	30008039	1	2	ManProtagonist2_12	50000	90	A Châu 3	89
91	0	A TØ	30008039	1	2	ManProtagonist2_13	50000	91	A TØ	92
92	0	A TØ 2	30008039	1	2	ManProtagonist2_14	50000	92	A TØ 2	91
93	0	A TØ 3	30008039	1	2	ManProtagonist2_15	50000	93	A TØ 3	94
94	0	Ngæ Yên	30008039	1	2	ManProtagonist2_16	50000	94	Ngæ Yên	93
95	0	Ngæ Yên 2	30008039	1	2	ManProtagonist2_17	50000	95	Ngæ Yên 2	96
96	0	Ngæ Yên 3	30008039	1	2	ManProtagonist2_18	50000	96	Ngæ Yên 3	95
97	0	Uy¬n Thanh	30008039	1	2	ManProtagonist2_19	50000	97	Uy¬n Thanh	98
98	0	Uy¬n Thanh 2	30008039	1	2	ManProtagonist2_20	50000	98	Uy¬n Thanh 2	97
99	0	Uy¬n Thanh 3	30008039	1	2	ManProtagonist2_21	50000	99	Uy¬n Thanh 3	100
100	1	Mµ Dung Phøc	30008039	1	2	ManProtagonist2_22	50000	100	Mµ Dung Phøc	99
101	1	Mµ Dung Phøc 2	30008039	1	2	ManProtagonist2_23	50000	101	Mµ Dung Phøc 2	102
102	1	Mµ Dung Phøc 3	30008039	1	2	ManProtagonist2_24	50000	102	Mµ Dung Phøc 3	101

