INT	INT	INT	INT
30010014	30010014	30010014	90000
30010015	30010015	30010015	90000
30010016	30010016	30010016	90000
30010017	30010017	30010017	90000
30010018	30010018	30010018	90000
30010019	30010019	30010019	90000
30010020	30010020	30010020	90000
30010021	30010021	30010021	90000
30010022	30010022	30010022	90000
30010023	30010023	30010023	90000
30010024	30010024	30010024	90000
30010025	30010025	30010025	90000
30010026	30010026	30010026	90000
30010027	30010027	30010027	90000
30010028	30010028	30010028	90000
30010029	30010029	30010029	90000
30010030	30010030	30010030	90000
30010031	30010031	30010031	90000
30010032	30010032	30010032	90000
30010033	30010033	30010033	90000
30010034	30010034	30010034	90000
30010035	30010035	30010035	90000
30010036	30010036	30010036	90000
30010037	30010037	30010037	90000
30010038	30010038	30010038	90000
30010039	30010039	30010039	90000
30010040	30010040	30010040	90000
30010041	30010041	30010041	90000
30010042	30010042	30010042	90000
30010043	30010043	30010043	90000
30010044	30010044	30010044	90000
30010045	30010045	30010045	90000
30010046	30010046	30010046	90000
30010047	30010047	30010047	90000
30010048	30010048	30010048	90000
30010049	30010049	30010049	90000
30010050	30010050	30010050	90000
30010051	30010051	30010051	90000
30010052	30010052	30010052	90000
30010053	30010053	30010053	90000
30010054	30010054	30010054	90000
30010055	30010055	30010055	90000
30010056	30010056	30010056	90000
30010057	30010057	30010057	90000
30010058	30010058	30010058	90000
30010059	30010059	30010059	90000
30010060	30010060	30010060	90000
30010061	30010061	30010061	90000
30010062	30010062	30010062	90000
30010063	30010063	30010063	90000
30010064	30010064	30010064	90000
30010065	30010065	30010065	90000
30010066	30010066	30010066	90000
30010067	30010067	30010067	90000
30010068	30010068	30010068	90000
30010069	30010069	30010069	90000
30010070	30010070	30010070	90000
30010071	30010071	30010071	90000
30010072	30010072	30010072	90000
30010073	30010073	30010073	90000
30010074	30010074	30010074	90000
30010075	30010075	30010075	90000
30010076	30010076	30010076	90000
30010077	30010077	30010077	90000
30010078	30010078	30010078	90000
30010079	30010079	30010079	90000

30010101	30010101	30010101	90000
30010102	30010102	30010102	90000
30010103	30010103	30010103	90000
30010104	30010104	30010104	90000
30010105	30010105	30010105	90000
30010111	30010111	30010111	90000
30010112	30010112	30010112	90000
30010113	30010113	30010113	90000
30010114	30010114	30010114	90000
30010115	30010115	30010115	90000
30010121	30010121	30010121	90000
30010122	30010122	30010122	90000
30010123	30010123	30010123	90000
30010124	30010124	30010124	90000
30010125	30010125	30010125	90000
30010131	30010131	30010131	90000
30010132	30010132	30010132	90000
30010133	30010133	30010133	90000
30010134	30010134	30010134	90000
30010135	30010135	30010135	90000
#item pet
30000501	30000501	30000501	90000
30000502	30000502	30000502	90000
30000503	30000503	30000503	90000
30000504	30000504	30000504	90000
30000505	30000505	30000505	90000
30000506	30000506	30000506	90000
30000507	30000507	30000507	90000
30000508	30000508	30000508	90000
30000509	30000509	30000509	90000
30000510	30000510	30000510	90000
30000511	30000511	30000511	90000
30000512	30000512	30000512	90000
30000513	30000513	30000513	90000
30000514	30000514	30000514	90000
30000515	30000515	30000515	90000
30000516	30000516	30000516	90000
30000517	30000517	30000517	90000
30000518	30000518	30000518	90000
30000519	30000519	30000519	90000
30000520	30000520	30000520	90000
30000521	30000521	30000521	90000
30000522	30000522	30000522	90000
30000523	30000523	30000523	90000
30000524	30000524	30000524	90000
30000525	30000525	30000525	90000
30000526	30000526	30000526	90000
30000527	30000527	30000527	90000
30000528	30000528	30000528	90000
30000529	30000529	30000529	90000
30000530	30000530	30000530	90000
30000531	30000531	30000531	90000
30000532	30000532	30000532	90000
30000533	30000533	30000533	90000
30000534	30000534	30000534	90000
30000535	30000535	30000535	90000
30000536	30000536	30000536	90000
30000537	30000537	30000537	90000
30000538	30000538	30000538	90000
30000539	30000539	30000539	90000
30000540	30000540	30000540	90000
30000541	30000541	30000541	90000
30000542	30000542	30000542	90000
30000543	30000543	30000543	90000
30000544	30000544	30000544	90000
30000545	30000545	30000545	90000
30000546	30000546	30000546	90000
30000547	30000547	30000547	90000
30000548	30000548	30000548	90000
30000549	30000549	30000549	90000
30000550	30000550	30000550	90000
#end
