INT	INT	STRING	INT
46	0	set:GirlProtagonist image:GirlProtagonist_23	2	2
47	1	set:ManProtagonist image:ManProtagonist_24	2
48	0	set:GirlProtagonist image:GirlProtagonist_24	2	2
49	0	set:GirlProtagonist image:GirlProtagonist_25	3	0
50	0	set:GirlProtagonist1 image:GirlProtagonist1_1	3
51	0	set:GirlProtagonist1 image:GirlProtagonist1_2	3
52	1	set:ManProtagonist image:ManProtagonist_25	3
53	1	set:ManProtagonist1 image:ManProtagonist1_1	3
54	1	set:ManProtagonist1 image:ManProtagonist1_2	3
55	0	set:GirlProtagonist1 image:GirlProtagonist1_3	2
56	1	set:ManProtagonist1 image:ManProtagonist1_3	2
57	0	set:GirlProtagonist1 image:GirlProtagonist1_4	2
58	1	set:ManProtagonist1 image:ManProtagonist1_4	2
59	0	set:GirlProtagonist1 image:GirlProtagonist1_5	2
60	1	set:ManProtagonist1 image:ManProtagonist1_5	2
61	0	set:GirlProtagonist1 image:GirlProtagonist1_6	2
62	1	set:ManProtagonist1 image:ManProtagonist1_6	2
63	0	set:GirlProtagonist1 image:GirlProtagonist1_7	2
64	1	set:ManProtagonist1 image:ManProtagonist1_7	2
65	0	set:GirlProtagonist1 image:GirlProtagonist1_8	2
66	1	set:ManProtagonist1 image:ManProtagonist1_8	2
67	0	set:GirlProtagonist1 image:GirlProtagonist1_9	2
68	1	set:ManProtagonist1 image:ManProtagonist1_9	2
69	0	set:GirlProtagonist1 image:GirlProtagonist1_10	2
70	1	set:ManProtagonist1 image:ManProtagonist1_10	2
71	0	set:GirlProtagonist1 image:GirlProtagonist1_11	2
72	1	set:ManProtagonist1 image:ManProtagonist1_11	2
73	0	set:GirlProtagonist1 image:GirlProtagonist1_12	2
74	1	set:ManProtagonist1 image:ManProtagonist1_12	2
75	0	set:GirlProtagonist1 image:GirlProtagonist1_13	2
76	1	set:ManProtagonist1 image:ManProtagonist1_13	2
77	0	set:GirlProtagonist1 image:GirlProtagonist1_14	2
78	1	set:ManProtagonist1 image:ManProtagonist1_14	2
79	1	set:ManProtagonist2 image:ManProtagonist2_1	2
80	1	set:ManProtagonist2 image:ManProtagonist2_2	2
81	1	set:ManProtagonist2 image:ManProtagonist2_3	2
82	1	set:ManProtagonist2 image:ManProtagonist2_4	2
83	1	set:ManProtagonist2 image:ManProtagonist2_5	2
84	1	set:ManProtagonist2 image:ManProtagonist2_6	2
85	1	set:ManProtagonist2 image:ManProtagonist2_7	2
86	1	set:ManProtagonist2 image:ManProtagonist2_8	2
87	1	set:ManProtagonist2 image:ManProtagonist2_9	2
88	0	set:ManProtagonist2 image:ManProtagonist2_10	2
89	0	set:ManProtagonist2 image:ManProtagonist2_11	2
90	0	set:ManProtagonist2 image:ManProtagonist2_12	2
91	0	set:ManProtagonist2 image:ManProtagonist2_13	2
92	0	set:ManProtagonist2 image:ManProtagonist2_14	2
93	0	set:ManProtagonist2 image:ManProtagonist2_15	2
94	0	set:ManProtagonist2 image:ManProtagonist2_16	2
95	0	set:ManProtagonist2 image:ManProtagonist2_17	2
96	0	set:ManProtagonist2 image:ManProtagonist2_18	2
97	0	set:ManProtagonist2 image:ManProtagonist2_19	2
98	0	set:ManProtagonist2 image:ManProtagonist2_20	2
99	0	set:ManProtagonist2 image:ManProtagonist2_21	2
100	1	set:ManProtagonist2 image:ManProtagonist2_22	2
101	1	set:ManProtagonist2 image:ManProtagonist2_23	2
102	1	set:ManProtagonist2 image:ManProtagonist2_24	2
