INT	INT	STRING	STRING	INT	INT	INT	STRING
142	12	少林俠士	少林初級男弟子。	21	1	-1	师门贡献
143	12	灰衣護法	少林中級男弟子。	21	2	-1	师门贡献
144	12	金身羅漢	少林高級男弟子。	21	3	-1	师门贡献
145	12	地藏菩薩	少林資深男弟子。	21	4	-1	师门贡献
146	12	少林俠女	少林初級女弟子。	21	1	-1	师门贡献
147	12	白衣侍者	少林中級女弟子。	21	2	-1	师门贡献
148	12	渡世觀音	少林高級女弟子。	21	3	-1	师门贡献
149	12	迦藍菩薩	少林資深女弟子。	21	4	-1	师门贡献
150	12	明教俠士	明教初級男弟子。	21	1	-1	师门贡献
151	12	侍火俠士	明教中級男弟子。	21	2	-1	师门贡献
152	12	護教法王	明教高級男弟子。	21	3	-1	师门贡献
153	12	光明神使	明教資深男弟子。	21	4	-1	师门贡献
154	12	明教俠女	明教初級女弟子。	21	1	-1	师门贡献
155	12	侍火俠女	明教中級女弟子。	21	2	-1	师门贡献
156	12	護教散人	明教高級女弟子。	21	3	-1	师门贡献
157	12	光明聖女	明教資深女弟子。	21	4	-1	师门贡献
158	12	丐幫俠士	丐幫初級男弟子。	21	1	-1	师门贡献
159	12	青蓮弟子	丐幫中級男弟子。	21	2	-1	师门贡献
160	12	玄武長老	丐幫高級男弟子。	21	3	-1	师门贡献
161	12	掌棒龍頭	丐幫資深男弟子。	21	4	-1	师门贡献
162	12	丐幫俠女	丐幫初級女弟子。	21	1	-1	师门贡献
163	12	白蓮弟子	丐幫中級女弟子。	21	2	-1	师门贡献
164	12	朱雀長老	丐幫高級女弟子。	21	3	-1	师门贡献
165	12	掌缽龍女	丐幫資深女弟子。	21	4	-1	师门贡献
166	12	武當俠士	武當初級男弟子。	21	1	-1	师门贡献
167	12	青冥居士	武當中級男弟子。	21	2	-1	师门贡献
168	12	無為真人	武當高級男弟子。	21	3	-1	师门贡献
169	12	武當天尊	武當資深男弟子。	21	4	-1	师门贡献
170	12	武當俠女	武當初級女弟子。	21	1	-1	师门贡献
171	12	白雲居士	武當中級女弟子。	21	2	-1	师门贡献
172	12	清靜散人	武當高級女弟子。	21	3	-1	师门贡献
173	12	武當仙子	武當資深女弟子。	21	4	-1	师门贡献
174	12	峨嵋俠士	峨嵋初級男弟子。	21	1	-1	师门贡献
175	12	清風居士	峨嵋中級男弟子。	21	2	-1	师门贡献
176	12	玉龍俠士	峨嵋高級男弟子。	21	3	-1	师门贡献
177	12	峨嵋仙人	峨嵋資深男弟子。	21	4	-1	师门贡献
178	12	峨嵋俠女	峨嵋初級女弟子。	21	1	-1	师门贡献
179	12	明月居士	峨嵋中級女弟子。	21	2	-1	师门贡献
180	12	金鳳俠女	峨嵋高級女弟子。	21	3	-1	师门贡献
181	12	峨嵋仙子	峨嵋資深女弟子。	21	4	-1	师门贡献
182	12	星宿俠士	星宿初級男弟子。	21	1	-1	师门贡献
183	12	行瘟郎君	星宿中級男弟子。	21	2	-1	师门贡献
184	12	催命判官	星宿高級男弟子。	21	3	-1	师门贡献
185	12	毒手醫仙	星宿資深男弟子。	21	4	-1	师门贡献
186	12	星宿俠女	星宿初級女弟子。	21	1	-1	师门贡献
187	12	行瘟娘子	星宿中級女弟子。	21	2	-1	师门贡献
188	12	奪命夜叉	星宿高級女弟子。	21	3	-1	师门贡献
189	12	毒手藥王	星宿資深女弟子。	21	4	-1	师门贡献
190	12	天龍俠士	天龍初級男弟子。	21	1	-1	师门贡献
191	12	藏經俠士	天龍中級男弟子。	21	2	-1	师门贡献
192	12	崇聖天師	天龍高級男弟子。	21	3	-1	师门贡献
193	12	天南龍王	天龍資深男弟子。	21	4	-1	师门贡献
194	12	天龍俠女	天龍初級女弟子。	21	1	-1	师门贡献
195	12	藏經俠女	天龍中級女弟子。	21	2	-1	师门贡献
196	12	崇聖天女	天龍高級女弟子。	21	3	-1	师门贡献
197	12	天南龍女	天龍資深女弟子。	21	4	-1	师门贡献
198	12	天山俠士	天山初級男弟子。	21	1	-1	师门贡献
199	12	陽天部眾	天山中級男弟子。	21	2	-1	师门贡献
200	12	天山蒼鷹	天山高級男弟子。	21	3	-1	师门贡献
201	12	混元山神	天山資深男弟子。	21	4	-1	师门贡献
202	12	天山俠女	天山初級女弟子。	21	1	-1	师门贡献
203	12	昊天部眾	天山中級女弟子。	21	2	-1	师门贡献
204	12	天山雪雕	天山高級女弟子。	21	3	-1	师门贡献
205	12	混元花神	天山資深女弟子。	21	4	-1	师门贡献
206	12	逍遙俠士	逍遙初級男弟子。	21	1	-1	师门贡献
207	12	撫琴居士	逍遙中級男弟子。	21	2	-1	师门贡献
208	12	洛神俠士	逍遙高級男弟子。	21	3	-1	师门贡献
209	12	逍遙神龍	逍遙資深男弟子。	21	4	-1	师门贡献
210	12	逍遙俠女	逍遙初級女弟子。	21	1	-1	师门贡献
211	12	蒔花居士	逍遙中級女弟子。	21	2	-1	师门贡献
212	12	淩波俠女	逍遙高級女弟子。	21	3	-1	师门贡献
213	12	逍遙聖女	逍遙資深女弟子。	21	4	-1	师门贡献
214	13	初級師傅	初為人師，與徒弟共同進步。#r可收2名徒弟	28	1	-1	师德等级
215	13	中級師傅	為人師表，兢兢業業。#r可收3名徒弟	28	2	-1	师德等级
216	13	高級師傅	為人師表，聲名遠播。#r可收5名徒弟	28	3	-1	师德等级
217	13	一代名師	一代名師，桃李滿天下。#r可收8名徒弟	28	4	-1	师德等级
218	14	_JIEBAI_	義結金蘭，生死與共！	24	1	-1	结拜
219	15	$N幫眾	幫派普通成員。	115	1	-1	帮派(不是通过称号)
220	15	$N精英	幫派精英成員。	115	2	-1	帮派(不是通过称号)
221	15	$N商人	幫派跑商負責人。	115	3	-1	帮派(不是通过称号)
222	15	$N內務使	幫派內務負責人。	115	4	-1	帮派(不是通过称号)
223	15	$N工務使	幫派工農業負責人。	115	5	-1	帮派(不是通过称号)
224	15	$N弘化使	幫派發展負責人。	115	6	-1	帮派(不是通过称号)
225	15	$N副幫主	幫派副幫主，幫主的得力助手。	115	7	-1	帮派(不是通过称号)
226	15	$N幫主	幫會老大，幫派的最高管理者。	115	8	-1	帮派(不是通过称号)
227	16	情聖	999朵玫瑰。	19	1	-1	"999朵玫瑰,男"
228	16	玫瑰仙子	999朵玫瑰。	19	1	-1	"999朵玫瑰,女"
229	17	剿匪義士	響應朝庭號召之剿匪義士。	30	1	-1	钱宏宇称号
230	17	破匪俠士	響應朝庭號召之破匪俠士。	30	2	-1	钱宏宇称号
231	17	鎮匪英俠	響應朝庭號召之鎮匪英俠。	30	3	-1	钱宏宇称号
232	17	天下匪見愁	令天下群匪聞之喪膽之匪見愁。	30	4	-1	钱宏宇称号
233	18	行者無雙	讀萬卷書，行萬里路，天下無雙！	31	1	-1	英雄任务
234	18	寂寞高手	武林高手，獨來獨往，問鼎江湖！	32	2	-1	英雄任务
235	18	無敵俠客	俠肝義膽，天下無敵，只求一敗！	33	3	-1	英雄任务
236	18	蓋世英雄	英雄蓋世，名震寰宇，萬古流芳！	34	4	-1	英雄任务
237	19	剿匪遊擊將軍	剿滅鏡湖水匪頭領六名的英雄！	35	1	-1	镜湖剿匪
238	19	剿匪破虜將軍	剿滅鏡湖水匪頭領十八名的英雄！	35	2	-1	镜湖剿匪
239	19	剿匪車騎將軍	剿滅鏡湖水匪頭領五十名的英雄！	35	3	-1	镜湖剿匪
240	19	剿匪大將軍	剿滅鏡湖水匪頭領百名的英雄！	35	4	-1	镜湖剿匪
241	20	極品飛毛腿	在龜兔賽跑活動中獲得前3名的英雄。	37	1	168	龟兔赛跑
242	21	$U★關內侯	幫會低級爵位，張遼曾賜爵關內侯。	38	1	-1	帮派贡献度称号
243	21	$U★亭侯	幫會低級爵位，關羽曾賜爵漢壽亭侯。	38	2	-1	帮派贡献度称号
244	21	$U★鄉侯	幫會中級爵位，司馬懿曾賜爵安國鄉侯。	38	3	-1	帮派贡献度称号
245	21	$U★縣侯	幫會中級爵位，諸葛亮曾賜爵武鄉縣侯。	38	4	-1	帮派贡献度称号
246	21	$U★郡侯	幫會中級爵位，羊祜曾賜爵南城郡侯。	38	5	-1	帮派贡献度称号
247	21	$U★縣公	幫會高級爵位，劉禪曾賜爵安樂縣公。	38	6	-1	帮派贡献度称号
248	21	$U★郡公	幫會高級爵位，孫權曾賜爵吳郡郡公。	38	7	-1	帮派贡献度称号
249	21	$U★國公	幫會高級爵位，司馬昭曾賜爵晉國公。	38	8	-1	帮派贡献度称号
250	21	$U★郡王	幫會超級爵位，劉備曾賜爵漢中王。	38	9	-1	帮派贡献度称号
251	21	$U★親王	幫會超級爵位，曹操曾賜爵魏王。	38	10	-1	帮派贡献度称号
252	22	连斩狂客	一次帮会征讨中杀人次数最多。	39	1	168	帮战获得的称号
253	22	超级旗手	一次帮会征讨中占领旗帜最多。	40	1	168	帮战获得的称号
254	22	搜宝专家	一次帮会征讨中采集资源最多。	41	1	168	帮战获得的称号
255	23	洛阳城主	凭借强大实力占据了洛阳城才具有的光荣称号。	42	1	-1	洛阳NPC周然处领取的城市称号
256	24	缥缈之锋芒初现	成功挑战了缥缈峰的英雄！	43	1	-1	挑战缥缈峰获得的称号
257	24	缥缈之豪情无双	多次成功挑战缥缈峰的英雄！	43	2	-1	挑战缥缈峰获得的称号
258	24	缥缈之战无不胜	在缥缈峰战无不胜的英雄！	43	3	-1	挑战缥缈峰获得的称号
259	24	缥缈之我意纵横	在缥缈峰叱咤风云的英雄！	43	4	-1	挑战缥缈峰获得的称号
