INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT
1	0	1	54	2	808000	4	-1	-1	-1	-1	-1	4	30	#{KJ_20080317_01}	230	3	#{KJ_20080317_02}	240	170	#{KJ_20080317_03}	410	3	#{KJ_20080317_04}	420	-1	-1	-1	-1	0	-1
2	0	1	70	2	801016	0	-1	-1	-1	-1	1000	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
3	0	1	82	2	801019	0	-1	-1	-1	-1	-1	4	10	#{KJ_20080317_05}	20	3	#{KJ_20080317_06}	30	30	#{KJ_20080317_07}	50	3	#{KJ_20080317_08}	60	-1	-1	-1	-1	0	-1
4	0	1	84	2	801020	0	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		-1
5	0	1	86	2	801021	0	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		-1
6	0	1	0	0	808001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	BOSS môn phái	-1
7	0	1	32	0	808001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	BOSS môn phái	-1
8	0	1	64	0	808001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	BOSS môn phái	-1
9	0	1	10	0	808001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	BOSS môn phái	-1
10	0	1	42	0	808001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	BOSS môn phái	-1
11	0	1	74	0	808001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	BOSS môn phái	-1
12	0	1	20	0	808001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	BOSS môn phái	-1
13	0	1	52	0	808001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	BOSS môn phái	-1
14	0	1	84	0	808001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	BOSS môn phái	-1
15	0	1	52	3	50016	0	0	0	0	0	0	4	4	#{FZ_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	Kë thù xâm lßþc	95
16	0	1	60	3	50016	0	0	0	0	0	0	4	4	#{FZ_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	Kë thù xâm lßþc	95
17	0	1	68	3	50016	0	0	0	0	0	0	4	4	#{FZ_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	Kë thù xâm lßþc	95
18	0	1	76	3	50016	0	0	0	0	0	0	4	4	#{FZ_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	Kë thù xâm lßþc	95
19	0	1	84	3	50016	0	0	0	0	0	0	4	4	#{FZ_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	Kë thù xâm lßþc	95
20	0	1	40	9	808015	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	Ðánh lén môn phái	-1
21	0	1	48	9	808015	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	Ðánh lén môn phái	-1
22	0	2	658	1	808003	0	0	0	0	0	0	4	10	#{BWDH_20080317_01}	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Nhóm c¤p 40 ÐÕi Tháo giªt Chu Løc	-1
23	0	2	358	1	808003	0	0	0	0	0	0	4	10	#{BWDH_20080317_01}	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Nhóm c¤p 40 ÐÕi Tháo giªt Chu Tam	-1
24	0	2	59	1	808000	0	0	0	0	0	0	4	5	#{HSLJ_20080317_01}	15	1	#{HSLJ_20080317_02}	18	65	-1	65	3	#{HSLJ_20080317_03}	75	-1	-1	-1	-1	Lu§n Kiªm Hoa S½n chü nh§t hàng tu¥n	-1
25	0	2	475	1	808000	0	0	0	0	0	0	4	5	#{XHSLJ_20080317_01}	15	1	#{HSLJ_20080317_02}	18	65	-1	65	3	#{XHSLJ_20080317_02}	75	-1	-1	-1	-1	Lu§n Kiªm Hoa S½n thÑ 5 hàng tu¥n	-1
26	0	1	64	9	808015	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	Ðánh lén môn phái	-1
27	0	1	80	9	808015	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	Ðánh lén môn phái	-1
28	0	1	88	9	808015	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	Ðánh lén môn phái	-1
29	0	1	0	9	808015	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	Ðánh lén môn phái	-1
30	0	2	658	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Nhóm c¤p 50 ÐÕi Tháo giªt Chu Løc	-1
31	0	2	358	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Nhóm c¤p 50 ÐÕi Tháo giªt Chu Tam	-1
32	0	2	658	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Nhóm c¤p 60 ÐÕi Tháo giªt Chu Løc	-1
33	0	2	358	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Nhóm c¤p 60 ÐÕi Tháo giªt Chu Tam	-1
34	0	2	658	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Nhóm c¤p 70 ÐÕi Tháo giªt Chu Løc	-1
35	0	2	358	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Nhóm c¤p 70 ÐÕi Tháo giªt Chu Tam	-1
36	0	1	74	5	808037	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Linh dßþc hoÕt ðµng	-1
#37	1	2	200	2	808006	88	0	0	0	0	0	4	60	#{MXT_20080317_01}	1440	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Mã hí ðoàn chu m¸	-1
#38	1	2	600	2	808006	88	0	0	0	0	0	4	60	#{MXT_20080317_01}	1440	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Mã hí ðoàn chu løc	-1
39	1	2	1	0	808000	88	0	0	0	0	0	4	30	#{CYR_20080317_01}	1440	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ngày tªt Tào V§n	95
40	1	2	600	0	808000	88	0	0	0	0	0	4	30	#{SRR_20080317_01}	1440	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ngày Thß½ng Nhân	694
41	0	1	8	3	50016	0	0	0	0	0	0	4	4	#{FZ_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	Kë thù xâm lßþc	95
42	0	1	16	9	808015	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	Ðánh lén môn phái	-1
43	0	1	40	0	808000	0	0	0	0	0	0	4	30	#{XQJ_20080317_01}	80	3	#{QJ_20080317_02}	90	30	#{QJ_20080317_03}	200	3	#{XQJ_20080317_02}	209	1	#{QJ_20080317_05}	210	0	KÏ cuµc	-1
44	0	2	658	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Nhóm c¤p 80 ÐÕi Tháo giªt Chu Løc	-1
45	0	2	358	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Nhóm c¤p 80 ÐÕi Tháo giªt Chu Tam	-1
46	0	2	658	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Nhóm c¤p 90 ÐÕi Tháo giªt Chu Løc	-1
47	0	2	358	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Nhóm c¤p 90 ÐÕi Tháo giªt Chu Tam	-1
48	0	2	275	1	808000	0	0	0	0	0	0	4	5	#{XHSLJ_20080317_01}	15	1	#{HSLJ_20080317_02}	18	65	-1	65	3	#{XHSLJ_20080317_02}	75	-1	-1	-1	-1	Lu§n Kiªm Hoa S½n thÑ 3 hàng tu¥n	-1
49	0	2	628	1	808000	0	0	0	0	0	0	4	30	#{JHJF_20080317_01}	350	3	#{JHJF_20080317_02}	360	5	#{JHJF_20080317_03}	370	120	#{JHJF_20080317_04}	899	1	#{JHJF_20080317_05}	900	-1	Kính H° Th± Phï	-1
50	1	2	36	0	808000	59	0	0	0	0	0	4	30	#{BGZ_20080317_01}	1440	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Lînh lß½ng bang phái	95
#51	1	1	47	0	808000	88	0	0	0	0	0	4	41	#{ZQ_20080317_01}	41	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Täo thß·ng nguy®t yên hoa	41
#52	1	1	71	0	808000	88	0	0	0	0	0	4	17	#{ZQ_20080317_02}	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Vãn thß·ng nguy®t yên hoa	17
53	0	1	56	158	402100	0	0	0	0	0	0	4	4	#{YZW_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	HoÕt ðµng Thánh Thú S½n ðã b¡t ð¥u	95
54	0	1	86	158	402100	0	0	0	0	0	0	4	4	#{YZW_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	HoÕt ðµng Thánh Thú S½n ðã kªt thúc	95
55	0	1	59	158	402103	0	0	0	0	0	0	4	4	#{YZW_20080317_02}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sñ ki®n sñ tháo chÕy cüa Dã trß ðã b¡t ð¥u	95
56	0	1	89	158	402103	0	0	0	0	0	0	4	4	#{YZW_20080317_02}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sñ ki®n sñ tháo chÕy cüa Dã trß ðã kªt thúc	95
57	1	2	676	0	402042	88	0	0	0	0	0	4	60	#{MDW_20080317_01}	240	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	HoÕt ðµng túc c¥u thông báo	695
58	1	2	12	0	402043	75	0	0	0	0	0	4	120	#PTr§n ð¤u C¥u Mây ðßþc mong ðþi nh¤t trong tháng vào lúc #Y19:00 #Ps¨ chính thÑc khai mÕc! Xin m¶i các v¸ anh hùng chu¦n b¸ t± ðµi, lînh song kinh nghi®m, thu¯c dßþc... ð¬ tham gia sñ ki®n ðÕt ðßþc thành công!	840	60	#PTr§n ð¤u C¥u Mây ðßþc mong ðþi nh¤t trong tháng vào lúc #Y19:00 #Ps¨ chính thÑc khai mÕc! Xin m¶i các v¸ anh hùng chu¦n b¸ t± ðµi, lînh song kinh nghi®m, thu¯c dßþc... ð¬ tham gia sñ ki®n ðÕt ðßþc thành công!	960	30	#PSñ ki®n ðÕi hµi C¥u Mây ðã b¡t ð¥u! Xin m¶i b¢ng hæu hãy ðªn #Gthành LÕc Dß½ng Ðoan Vß½ng Phü [204,57] #Ptìm #YÐ°ng Quán #PðÕi nhân, #GÐÕi Lý [282,84] #YHÕ Thanh Thanh#P, #GTô Châu [187,147] #YVu Thiên Thiên #Ptham gia sñ ki®n!	1140	30	#PTr§n ð¤u C¥u Mây s¨ ðßþc kªt thúc vào lúc #Y23:00 #Pngày hôm nay, mong các v¸ anh hùng mau mau kªt thúc tr§n ð¤u!	1200	5	#PTr§n ð¤u C¥u May hôm nay ðªn ðây kªt thúc, mong các anh hùng hãy ðón xem tr§n ð¤u kª tiªp trong tháng sau, cám ½n!	1205	-1	Thông báo hoÕt ðµng túc c¥u cüa chü nh§t này	95
59	0	1	2	32	810002	0	0	0	0	0	0	4	11	#{XJJG_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	¶ëáÒ59	0	1	2	32	810002	0	0	0	0	0	0	4	11	#{XJJG_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ðàn BOSS Nga My	95
60	0	1	42	32	810002	0	0	0	0	0	0	4	11	#{XJJG_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ðàn BOSS Nga My	95
61	0	1	62	32	810002	0	0	0	0	0	0	4	11	#{XJJG_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ðàn BOSS Nga My	95
62	0	1	79	32	810002	0	0	0	0	0	0	4	11	#{XJJG_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ðàn BOSS Nga My	95
63	0	1	6	20	810003	0	0	0	0	0	0	4	11	#{BQM_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ðàn BOSS Thäo Nguyên	95
64	0	1	54	20	810003	0	0	0	0	0	0	4	11	#{BQM_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ðàn BOSS Thäo Nguyên	95
65	0	1	74	20	810003	0	0	0	0	0	0	4	11	#{BQM_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ðàn BOSS Thäo Nguyên	95
66	0	1	90	20	810003	0	0	0	0	0	0	4	11	#{BQM_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ðàn BOSS Thäo Nguyên	95
67	0	1	10	25	810001	0	0	0	0	0	0	4	11	#{BY_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ðàn BOSS Kim Cß½ng	95
68	0	1	46	25	810001	0	0	0	0	0	0	4	11	#{BY_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ðàn BOSS Kim Cß½ng	95
69	0	1	72	25	810001	0	0	0	0	0	0	4	11	#{BY_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ðàn BOSS Kim Cß½ng	95
70	0	1	94	25	810001	0	0	0	0	0	0	4	11	#{BY_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ðàn BOSS Kim Cß½ng	95
71	0	1	14	39	810000	0	0	0	0	0	0	4	11	#{DHW_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ðàn BOSS Ðµc Cáp	95
72	0	1	50	39	810000	0	0	0	0	0	0	4	11	#{DHW_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ðàn BOSS Ðµc Cáp	95
73	0	1	78	39	810000	0	0	0	0	0	0	4	11	#{DHW_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ðàn BOSS Ðµc Cáp	95
74	0	1	86	39	810000	0	0	0	0	0	0	4	11	#{DHW_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ðàn BOSS Ðµc Cáp	95
75	0	1	13	158	808066	0	0	0	0	0	0	4	11	#{DBX_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thánh Thú S½n cäi tiªn bäo sß½ng	95
76	0	1	41	158	808066	0	0	0	0	0	0	4	11	#{DBX_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thánh Thú S½n cäi tiªn bäo sß½ng	95
77	0	1	53	158	808066	0	0	0	0	0	0	4	11	#{DBX_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thánh Thú S½n cäi tiªn bäo sß½ng	95
78	0	1	73	158	808066	0	0	0	0	0	0	4	11	#{DBX_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thánh Thú S½n cäi tiªn bäo sß½ng	95
79	0	1	94	158	808066	0	0	0	0	0	0	4	11	#{DBX_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thánh Thú S½n cäi tiªn bäo sß½ng	95
80	1	1	0	39	808068	95	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Quái v§t tu¥n tra tÕi Huy«n Vû Ðäo	95
81	0	1	41	0	808000	0	0	0	0	0	0	4	4	#{GMBB_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Trân thú c± mµ	95
82	0	1	49	0	808000	0	0	0	0	0	0	4	4	#{GMBB_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Trân thú c± mµ	95
83	0	1	65	0	808000	0	0	0	0	0	0	4	4	#{GMBB_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Trân thú c± mµ	95
84	0	1	77	0	808000	0	0	0	0	0	0	4	4	#{GMBB_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Trân thú c± mµ	95
85	0	1	85	0	808000	0	0	0	0	0	0	4	4	#{GMBB_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Trân thú c± mµ	95
86	0	1	93	0	808000	0	0	0	0	0	0	4	4	#{GMBB_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Trân thú c± mµ	95
87	1	1	0	0	50024	95	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	HoÕt ðµng ðêm giáng sinh 08_Tuyªt r½i	95
88	1	0	35848	0	50023	56	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	HoÕt ðµng ðêm giáng sinh 08_Ð¡p Ngß¶i tuyªt	35910
89	1	0	35900	0	808000	88	0	0	0	0	0	4	20	#{SDJ_20080317_01}	120	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	HoÕt ðµng ðêm giáng sinh 08_Nh§n quà noel	35909
90	0	1	3	1	808000	0	0	0	0	0	0	4	240	#{KHS_20080317_01}	1425	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ThØ Tài V§n May	95
91	0	1	44	158	810110	0	0	0	0	0	0	4	11	#{LG_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Boss Long Quy	95
92	0	1	63	158	810110	0	0	0	0	0	0	4	11	#{LG_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Boss Long Quy	95
93	0	1	78	158	810110	0	0	0	0	0	0	4	11	#{LG_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Boss Long Quy	95
94	0	1	92	158	810110	0	0	0	0	0	0	4	11	#{LG_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Boss Long Quy	95
#95	1	0	4300	0	808000	88	0	0	0	0	0	4	120	#{QRJ_20080317_01}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Tình nhân tiªt kªt hôn ðä chiªt	4490
#96	1	0	4400	0	808000	88	0	0	0	0	0	4	120	#{QRJ_20080317_01}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Tình nhân tiªt kªt hôn ðä chiªt	4590
#97	1	1	80	6	808000	88	0	0	0	0	0	4	60	#{NS_20080317_01}	65	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	BOSS Niên Thú	87
#98	1	1	88	6	50050	88	0	0	0	0	0	4	60	#{NS_20080317_02}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	BOSS Niên Thú	89
#99	1	0	3641	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_01}	599	80	#{BCW_20080317_01}	660	60	#{BCW_20080317_02}	685	60	#{BCW_20080317_03}	690	-1	-1	-1	-1	Ðêm xuân liên hoan hµi	3688
#100	1	0	3741	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_04}	599	80	#{BCW_20080317_05}	660	60	#{BCW_20080317_02}	685	60	#{BCW_20080317_03}	690	-1	-1	-1	-1	Ðêm xuân liên hoan hµi	3788
#101	1	0	3841	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_04}	599	80	#{BCW_20080317_05}	660	60	#{BCW_20080317_02}	685	60	#{BCW_20080317_03}	690	-1	-1	-1	-1	Ðêm xuân liên hoan hµi	3888
#102	1	0	3941	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_04}	599	80	#{BCW_20080317_05}	660	60	#{BCW_20080317_02}	685	60	#{BCW_20080317_03}	690	-1	-1	-1	-1	Ðêm xuân liên hoan hµi	3988
#103	1	0	4041	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_04}	599	80	#{BCW_20080317_05}	660	60	#{BCW_20080317_02}	685	60	#{BCW_20080317_03}	690	-1	-1	-1	-1	Ðêm xuân liên hoan hµi	4088
#104	1	0	4141	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_04}	599	80	#{BCW_20080317_05}	660	60	#{BCW_20080317_02}	685	60	#{BCW_20080317_03}	690	-1	-1	-1	-1	Ðêm xuân liên hoan hµi	4188
#105	1	0	4241	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_04}	599	80	#{BCW_20080317_05}	660	60	#{BCW_20080317_02}	685	60	#{BCW_20080317_06}	690	-1	-1	-1	-1	Ðêm xuân liên hoan hµi	4288
#106	0	1	85	0	50030	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	07BOSS Xuân Vãn	-1
#107	1	1	36	0	808076	88	0	0	0	0	0	4	180	#{BBSX_20080317_01}	845	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Bäo bäo song hß·ng pháo hoÕt ðµng	93
#108	1	1	28	0	808076	88	0	0	0	0	0	4	180	#{BBSX_20080317_02}	845	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Bäo bäo song hß·ng pháo hoÕt ðµng	88
#109	1	1	36	0	808076	88	0	0	0	0	0	4	180	#{BBSX_20080317_03}	845	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Bäo bäo song hß·ng pháo hoÕt ðµng	93
110	1	1	32	0	808076	88	0	0	0	0	0	4	180	#{YRJ_90219_8}	960	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ngu nhân ðÕi biªn thân hoÕt ðµng	92
#111	1	1	50	-1	808083	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thánh höa truy«n lÕi hoÕt ðµng	-1
#112	1	1	78	-1	808083	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thánh höa truy«n lÕi hoÕt ðµng	-1
#113	1	1	86	-1	808083	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thánh höa truy«n lÕi hoÕt ðµng	-1
#114	1	1	48	0	808000	80	0	0	0	0	0	4	10	#{SHCD_20080317_01}	21	2	#{SHCD_20080317_02}	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thánh höa truy«n lÕi hoÕt ðµng	94
