INT	STRING	INT	INT	FLOAT	INT	INT	STRING	INT	STRING	INT	INT
99	Ð°ng tØ ðài	2	2963	0.7	1158	26	attach1	26	attach2	-1	1
100	Nguy®t bÕch giao mã	1	2964	0.7	1159	25	attach1	25	attach1	-1	1
101	Phan th¥n	2	5007	0.7	426	23	attach1	23	attach2	-1	1
102	S½ c¤p niên thú	1	5004	0.7	1077	23	attach1	23	attach1	-1	1
103	Trung c¤p niên thú	1	5005	0.7	1077	23	attach1	23	attach1	-1	1
104	Cao c¤p niên thú	1	5006	0.7	1077	23	attach1	23	attach1	-1	1
105	Phan th¥n	2	5008	0.7	1082	23	attach1	23	attach2	-1	1
151	ÐÕi phong	2	2958	0.7	428	23	attach2	23	attach1	-1	-1
152	ÐÕi phong phø ki®n	2	2958	0.7	-1	23	attach2	23	attach1	-1	-1
153	Kim xí lam s¡c	1	2842	0.7	1161	23	attach1	23	attach1	-1	-1
154	Kim xí thanh s¡c	1	2843	0.7	1162	23	attach1	23	attach1	-1	-1
155	Kim xí lam s¡c phø ki®n	1	2842	0.7	-1	23	attach1	23	attach1	-1	-1
156	Kim xí thanh s¡c phø ki®n	1	2843	0.7	-1	23	attach1	23	attach1	-1	-1
157	NgÕo tuyªt linh sß	1	2978	0.7	1163	23	attach1	23	attach1	-1	1
158	Phách thª vû long	2	3016	0.7	1194	23	attach1	23	attach1	-1	-1
159	Phách thª vû long phø ki®n	2	3016	0.7	-1	23	attach1	23	attach1	-1	-1
160	Thanh dñc chiªn long	2	3018	0.7	1195	23	attach1	23	attach1	-1	-1
161	Thanh dñc chiªn long phø ki®n	2	3018	0.7	-1	23	attach1	23	attach1	-1	-1
162	Tuy®t vân di®m long	2	3017	0.7	1196	23	attach1	23	attach1	-1	-1
163	Tuy®t vân di®m long phø ki®n	2	3017	0.7	-1	23	attach1	23	attach1	-1	-1
164	phß¾c thuÜ tuyªt ðiêu 	1	3210	0.6	1208	25	attach1	25	attach2	-1	1
165	h°ng mai nhuy­n giá 	2	3256	0.7	1209	26	attach1	26	attach2	-1	-1
166	kim vû 	1	5062	0.7	1210	28	attach1	28	attach1	-1	-1
#167	minh tà thú 	1	3306	0.7	1211	23	attach1	23	attach1	-1	1
168	li®t hoä kim cß½ng 	1	3310	0.7	1212	26	attach1	26	attach1	-1	1
169	xích tiêu viêm lang 	1	3320	0.7	1213	23	attach1	23	attach1	-1	1
170	thª mô k¸ /kÜ thuat	1	3332	0.7	-1	23	attach1	23	attach1	-1	1
171	M¸ vû	1	3362	0.7	1214	28	attach1	28	attach1	-1	-1
172	Thiên hà linh thß¾c	1	3363	0.5	1215	26	attach1	15	attach1	-1	-1
173	BÕch bích thüy kim tình thú	1	3545	0.7	1216	23	attach1	23	attach1	-1	1
174	H¡c thiên mã	1	3544	0.7	1217	25	attach1	25	attach1	-1	1
175	Huy«n Ð°ng Häi Long	1	3555	0.7	1219	23	attach1	23	attach1	-1	1
176	U Lam Häi Long 	1	3556	0.7	1218	23	attach1	23	attach1	-1	1
177	Ám Viêm Khai Minh Thú	1	3585	0.7	1220	23	attach1	23	attach1	-1	1
178	Dao Quang Khai Minh Thú	1	3586	0.7	1221	23	attach1	23	attach1	-1	1
179	Tinh H°ng Vân Châu	2	3597	0.7	1222	26	attach1	26	attach2	-1	-1
180	Ám Viêm Minh Sß	1	3619	0.7	1223	23	attach1	23	attach1	-1	1
181	Hß Không Hùng H°n	1	3620	0.6	1223	25	attach1	25	attach1	-1	1
182	Tß¶ng Vân HÕc	1	3621	0.7	1145	23	attach1	23	attach1	-1	1
183	Kim Ti«n Báo	1	3623	0.5	-1	23	attach1	23	attach1	-1	1
184	Vân Tuyªt Báo	1	3624	0.5	-1	23	attach1	23	attach1	-1	1
185	U Minh Báo	1	3625	0.6	-1	23	attach1	23	attach1	-1	1
186	Viêm Vû	1	3631	0.7	1224	28	attach1	28	attach1	-1	-1
187	¿ng Long Huy­n H°n	1	3632	0.7	-1	23	attach1	23	attach1	-1	-1
189	Nhung Tuyªt Th¥n Ngßu	1	3766	0.7	432	25	attach1	25	attach1	-1	1
190	Thß½ng Häi Long Câu	1	3769	0.7	432	25	attach1	25	attach1	-1	1
191	Bách Biªn Kim Cß½ng	1	3770	0.7	432	25	attach1	25	attach1	-1	1
192	Ð§u Ð§u Tuyªt Khiêu	2	3780	0.7	-1	27	attach1	27	attach2	-1	1
#194	Nguy®t Mã Hß½ng Câu	2	3823	0.7	432	23	attach1	23	attach1	-1	1
194	Nguy®t Mã Hß½ng Câu	2	3823	0.7	425	27	attach1	27	attach2	-1	-1
195	Xích Luy®n Câu	1	3877	0.7	432	23	attach1	23	attach1	-1	1
196	Bích Giáp Huy«n Quy	1	3984	0.7	432	26	attach1	26	attach1	-1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
200	NgÕo tuyªt linh sß	1	2978	0.7	1163	23	attach1	23	attach1	-1	1
